original_name,Specification,Unit,price,+/-,pricing,currency,mass_unit,specific_price,commodity_info,Unnamed: 0,material_name,molecular_formula,molecular_formula_norm,index_use,index
Lithium Carbonates,99.5% min FOB South America,USD / kg,11.05,,08.07.19,USD,kg,11.05,Carbonates,28,Lithium Carbonate,Li2CO3,CLi2O3,molecular_formula,Li2CO3
Lithium Cobaltate,Co 60% min delivered in China,USD / kg,28.950000000000003,,08.07.19,USD,kg,28.950000000000003,Cobaltate,29,LCO,LiCoO2,CoLiO2,material_name,LCO
Lithium manganates,Mn 58% delivered in China,USD / mt,6968.5,,08.07.19,USD,metric_ton,6.968500000000001,manganates,30,LMO,LiMn2O4,LiMn2O4,material_name,LMO
Lithium hydroxides_monohydrates,LiOH 56.5% min delivered in China,USD / mt,10670.5,ï¿½0.68,08.07.19,USD,metric_ton,10.6705,hydroxides_monohydrates,31,Lithium Hydroxide Monohydrate,LiOH(H2O),H3LiO2,molecular_formula,LiOH(H2O)
Lithium hydroxides_monohydrates,"LiOH 56.5% min, 0.0001% max magnets supplied in China",USD / mt,11904.5,ï¿½0.61,08.07.19,USD,metric_ton,11.9045,hydroxides_monohydrates,31,Lithium Hydroxide Monohydrate,LiOH(H2O),H3LiO2,molecular_formula,LiOH(H2O)
Lithium hydroxides_monohydrates,"LiOH 56.5% min, Magnets 0.0001% max FOB China",USD / kg,14.45,,08.07.19,USD,kg,14.45,hydroxides_monohydrates,31,Lithium Hydroxide Monohydrate,LiOH(H2O),H3LiO2,molecular_formula,LiOH(H2O)
Lithium hydroxides_monohydrates,"LiOH 56.5% min, 0.0001% max magnets supplied in South Korea",USD / kg,15.7,,08.07.19,USD,kg,15.7,hydroxides_monohydrates,31,Lithium Hydroxide Monohydrate,LiOH(H2O),H3LiO2,molecular_formula,LiOH(H2O)
Lithium chlorides,99.3% min delivered in China,USD / mt,9799.5,,08.07.19,USD,metric_ton,9.7995,chlorides,32,Lithium Chloride,ClLi,ClLi,molecular_formula,ClLi
Magnesium Ingot,99.9% min EXW China,USD / mt,2250.0,,08.07.19,USD,metric_ton,2.25,Ingot,33,Magnesium,Mg,Mg,molecular_formula,Mg
Magnesium Ingot,99.9% min Ex-VAT FOB China,USD / mt,2325.0,,08.07.19,USD,metric_ton,2.325,Ingot,33,Magnesium,Mg,Mg,molecular_formula,Mg
Magnesium Ingot,99.9% min FOB China,USD / mt,2355.0,,08.07.19,USD,metric_ton,2.355,Ingot,33,Magnesium,Mg,Mg,molecular_formula,Mg
Magnesium Ingot,99.9% min in the warehouse Rotterdam,USD / mt,2355.0,,08.07.19,USD,metric_ton,2.355,Ingot,33,Magnesium,Mg,Mg,molecular_formula,Mg
Magnesium Powder,99.9% min EXW China,USD / mt,2410.0,,08.07.19,USD,metric_ton,2.41,Powder,34,Magnesium,Mg,Mg,molecular_formula,Mg
Magnesium Powder,99.9% min FOB China,USD / mt,2455.0,,08.07.19,USD,metric_ton,2.455,Powder,34,Magnesium,Mg,Mg,molecular_formula,Mg
Manganese flakes,99.7% min EXW China,USD / mt,1901.5,,08.07.19,USD,metric_ton,1.9015,flakes,36,Magnesium,Mg,Mg,molecular_formula,Mg
Manganese flakes,99.7% min FOB China,USD / mt,1945.0,,08.07.19,USD,metric_ton,1.945,flakes,36,Magnesium,Mg,Mg,molecular_formula,Mg
Manganese flakes,99.7% min Ex-VAT FOB China,USD / mt,1865.0,,08.07.19,USD,metric_ton,1.865,flakes,36,Magnesium,Mg,Mg,molecular_formula,Mg
Manganese flakes,99.7% min in the warehouse Rotterdam,USD / mt,1950.0,,08.07.19,USD,metric_ton,1.95,flakes,36,Magnesium,Mg,Mg,molecular_formula,Mg
Manganese flakes,99.7% min CIF India,USD / mt,1975.0,,08.07.19,USD,metric_ton,1.975,flakes,36,Magnesium,Mg,Mg,molecular_formula,Mg
Manganese Lump,96.5% min FOB China,USD / mt,2015.0,,08.07.19,USD,metric_ton,2.015,Lump,37,Manganese,Mn,Mn,molecular_formula,Mn
Manganese Briquette,97% min FOB China,USD / mt,1995.0,,08.07.19,USD,metric_ton,1.995,Briquette,38,Manganese,Mn,Mn,molecular_formula,Mn
Manganese dioxides,Alkaline 91% min EXW China,USD / mt,1713.0,ï¿½0.42,08.07.19,USD,metric_ton,1.713,dioxides,39,Manganese dioxide,MnO2,MnO2,molecular_formula,MnO2
Manganese dioxides,Carbon 91% min EXW China,USD / mt,1495.5,ï¿½0.48,08.07.19,USD,metric_ton,1.4955,dioxides,39,Manganese dioxide,MnO2,MnO2,molecular_formula,MnO2
Manganese sulphates,Mn 32% min EXW China,USD / t,987.5,,08.07.19,USD,metric_ton,0.9875,sulphates,40,Manganese sulphate,MnSO4,MnO4S,molecular_formula,MnSO4
Mercury metal,99.999% min EXW China,USD / kg,61.7,,08.07.19,USD,kg,61.7,metal,41,Magnesium,Mg,Mg,molecular_formula,Mg
Molybdenum Conc.,45% min EXW China,USD / mtu,263.5,,08.07.19,USD,mtu,26.35,Conc.,42,Molybdenite ,MoS2,MoS2,molecular_formula,MoS2
Molybdenum oxides,50% min EXW China,USD / mtu,271.0,,08.07.19,USD,mtu,27.1,oxides,43,Molybdenum Oxide,MoO3,MoO3,molecular_formula,MoO3
Molybdenum oxides,57% min in the warehouse Rotterdam,USD / lb,11.85,,08.07.19,USD,lb,26.12477806890799,oxides,43,Molybdenum Oxide,MoO3,MoO3,molecular_formula,MoO3
Molybdenum oxides,57% min in the port of South Korea,USD / lb,11.8,,08.07.19,USD,lb,26.014546937815556,oxides,43,Molybdenum Oxide,MoO3,MoO3,molecular_formula,MoO3
Molybdenum oxides,57% min in the port of India,USD / lb,11.8,,08.07.19,USD,lb,26.014546937815556,oxides,43,Molybdenum Oxide,MoO3,MoO3,molecular_formula,MoO3
Molybdenum oxides,99.9% min EXW China,USD / mt,23083.0,,08.07.19,USD,metric_ton,23.083000000000002,oxides,43,Molybdenum Oxide,MoO3,MoO3,molecular_formula,MoO3
Ammonium Tetrathiomolybdate,56% min EXW China,USD / mt,18728.0,,08.07.19,USD,metric_ton,18.728,Tetrathiomolybdate,44,Ammonium Tetrathiomolybdate,H10MoN2S4,H10MoN2S4,material_name,Ammonium Tetrathiomolybdate
Ammonium heptamolybdate,54% min EXW China,USD / mt,19018.0,,08.07.19,USD,metric_ton,19.018,heptamolybdate,45,Ammonium Heptamolybdate,H50Mo7N6O28 ,H50Mo7N6O28,material_name,Ammonium Heptamolybdate
