original_name,commodity,extra_info,price_units,price_desc,price,specific_price,material_name,molecular_formula,index_use,pubchem_formula,index
Iron Ore ,Iron Ore,,USD/ton,"Price: Average value reported by mines, dollars per ton. Data are estimated for the most recent year.",89.95,0.0991529024176487,Iron Ore,,material_name,Fe2O3,Iron Ore
Iron Oxide Pigments ,Iron Oxide Pigments,,USD/kg,"Price: Average value, dollars per kilogram. Average unit value for finished iron oxide pigments sold or used by U.S. producers. Data are estimated for the most recent year.",1.03,1.03,Iron Oxide Pigment,,material_name,,Iron Oxide Pigment
Iron and Steel Scrap ,Iron and Steel Scrap,,USD/ton,"Price, average, delivered, No. 1 heavy melting composite price, dollars per ton. Source: Fastmarkets AMM.",300.6,0.33135478006387104,Iron,,pubchem_formula,Fe,Fe
Iron and Steel Slag ,Iron and Steel Slag,,USD/ton,"Price: Average value, free on board plant, dollars per ton. Rounded to the nearest $0.50 per ton. Data are estimated for the most recent year.",26.2,0.02888055634621896,Iron,,pubchem_formula,Fe,Fe
Kyanite and Related Minerals FOB,Kyanite and Related Minerals,FOB,USD/ton,"Price: Average value of exports (free alongside ship), dollars per metric ton. Calculated from U.S. Census Bureau export data. Includes data for the following Harmonized Tariff Schedule of the United States code: 2508.50.0000.",358.6,0.39528883609748555,kyanite,,material_name,Al2H6O5Si,kyanite
Lead LME,Lead,LME,cents/lb,"Price: Average, cents per pound: London Metal Exchange (LME), cash. Source: S&P Global Platts Metals Week. Data are estimated for the most recent year.",95.92,2.114674018877346,Lead,,pubchem_formula,Pb,Pb
Lead North_American,Lead,North_American,cents/lb,"Price: Average, cents per pound: North American market. Source: S&P Global Platts Metals Week. Data are estimated for the most recent year.",105.32000000000001,2.321908545331131,Lead,,pubchem_formula,Pb,Pb
Lime Hydrated,Lime,Hydrated,USD/ton,"Price, average value, dollars per ton at plant: Hydrated. Data are estimated for the most recent year.",153.94,0.16968980320370028,Lime,,pubchem_formula,CaO,CaO
Lime Quicklime,Lime,Quicklime,USD/ton,"Price, average value, dollars per ton at plant: Quicklime. Data are estimated for the most recent year.",129.28,0.14250680627630488,Lime,,pubchem_formula,CaO,CaO
Lithium ,Lithium,,USD/ton,"Price: Annual average, battery-grade lithium carbonate, dollars per metric ton. Lithium carbonate, contract price, delivered Europe and United States. Source: Fastmarkets IM. Data are estimated for the most recent year.",13940.0,15.366219674285968,Lithium Carbonate,,pubchem_formula,CLi2O3,CLi2O3
Magnesium Metal European,Magnesium Metal,European,USD/ton,"Price: Annual average: European free market, dollars per metric ton. Source: S&P Global Platts Metals Week. Data are estimated for the most recent year.",2977.8,3.2824626216706427,Magnesium,,pubchem_formula,Mg,Mg
Magnesium Metal US_spot,Magnesium Metal,US_spot,cents/lb,"Price: Annual average: U.S. spot Western, dollars per pound. Source: S&P Global Platts Metals Week. Data are estimated for the most recent year.",2.632,0.05802566740705978,Magnesium,,pubchem_formula,Mg,Mg
Manganese CN_CIF,Manganese,CN_CIF,USD/ton,"Price: Average, manganese content, cost, insurance, and freight, China, dollars per metric ton unit. For average metallurgical-grade ore containing 44% manganese. Source: CRU Group. Data are estimated for the most recent year.",5.71,0.006294197585378255,Manganese,,pubchem_formula,Mn,Mn
Mercury EU,Mercury,EU,USD/flask,"Price: Average value, dollars per flask, 99.99%: European Union. Some international data and dealer prices are reported in flasks. One metric ton (1,000 kilograms) = 29.0082 flasks, and 1 flask = 76 pounds, or 34.47 kilograms, or 0.03447 metric ton. Average annual price of minimum 99.99% mercury. Source: Argus Media group—Argus Metals International. Price discontinued on May 1, 2018. Data are estimated for the most recent year.",1070.5,31.05599071656513,Mercury,,pubchem_formula,Hg,Hg
Mercury Global,Mercury,Global,USD/flask,"Price: Average value, dollars per flask, 99.99%: Global locations. Some international data and dealer prices are reported in flasks. One metric ton (1,000 kilograms) = 29.0082 flasks, and 1 flask = 76 pounds, or 34.47 kilograms, or 0.03447 metric ton. Average midpoint of free market 99.99% mercury in warehouse, global locations. Source: Metal Bulletin. Price discontinued on December 1, 2019.",2177.3333333333335,63.166038100763956,Mercury,,pubchem_formula,Hg,Hg
Molybdenum ,Molybdenum,,USD/kg,"Price: Average value, dollars per kilogram. Time-weighted average price per kilogram of molybdenum contained in technical-grade molybdic oxide, as reported by CRU Group. Data are estimated for the most recent year.",25.5,25.5,Molybdenum,,pubchem_formula,Mo,Mo
Nickel ,Nickel,,USD/ton,"Price, average annual, London Metal Exchange (LME), cash: Dollars per metric ton. Data are estimated for the most recent year.",6922.3523000000005,7.630587238493453,Nickel,,pubchem_formula,Ni,Ni
Niobium (Columbium) ,Niobium (Columbium),,USD/kg,"Price: Unit value, ferroniobium, dollars per kilogram. Unit value is weighted average unit value of gross weight of U.S. ferroniobium trade (imports plus exports.) Data are estimated for the most recent year.",21.0,21.0,Niobium ,,pubchem_formula,Nb,Nb
Nitrogen (Fixed)--Ammonia ,Nitrogen (Fixed)--Ammonia,,USD/short_ton,"Price: Average, free on board gulf coast, dollars per short ton. Source: Green Markets. Data are estimated for the most recent year.",298.6,0.32915015744202225,Ammonia,,pubchem_formula,H3N,H3N
Peat ,Peat,,USD/ton,"Price: Average value, f.o.b. mine, dollars per ton. Data are estimated for the most recent year.",25.552,0.02816625861673996,Peat,,material_name,K,Peat
Perlite FOB,Perlite,FOB,USD/ton,"Price: Average value, free on board mine, dollars per ton. Data are estimated for the most recent year.",65.6,0.07231162199663985,Perlite,,material_name,Al2CaFe2K2MgNa2O12Si,Perlite
Phosphate Rock ,Phosphate Rock,,USD/ton,"Price: Average value, f.o.b. mine, dollars per ton. Marketable phosphate rock, weighted value, all grades. Data are estimated for the most recent year.",72.65599999999999,0.08008953060652232,Phosphorite,,material_name,,Phosphorite
Platinum-Group Metals Iridium,Platinum-Group Metals,Iridium,USD/ton,"Price, Dollars per troy ounce: Iridium. Engelhard Corp. unfabricated metal. Data are estimated for the most recent year.",2144.186,2.3635604805257198,Iridium,,pubchem_formula,Ir,Ir
Platinum-Group Metals Palladium,Platinum-Group Metals,Palladium,USD/ton,"Price, Dollars per troy ounce: Palladium. Engelhard Corp. unfabricated metal. Data are estimated for the most recent year.",1652.062,1.821086628948366,Palladium,,pubchem_formula,Pd,Pd
Platinum-Group Metals Platinum,Platinum-Group Metals,Platinum,USD/ton,"Price, Dollars per troy ounce: Platinum. Engelhard Corp. unfabricated metal. Data are estimated for the most recent year.",957.3700000000001,1.0553197797396814,Platinum,,pubchem_formula,Pt,Pt
Platinum-Group Metals Rhodium,Platinum-Group Metals,Rhodium,USD/ton,"Price, Dollars per troy ounce: Rhodium. Engelhard Corp. unfabricated metal. Data are estimated for the most recent year.",8492.346,9.361209052083481,Rhodium,,pubchem_formula,Rh,Rh
Platinum-Group Metals Ruthenium,Platinum-Group Metals,Ruthenium,USD/ton,"Price, Dollars per troy ounce: Ruthenium. Engelhard Corp. unfabricated metal. Data are estimated for the most recent year.",273.13800000000003,0.3010831068432655,Ruthenium,,pubchem_formula,Ru,Ru
Potash All,Potash,All,USD/ton,"Price: Average, all products, f.o.b. mine, dollars per ton of K2O. Includes MOP, SOP, and SOPM. Does not include other chemical compounds that contain potassium. Data are estimated for the most recent year.",834.0,0.9193276333109396,Potassium Oxide,,pubchem_formula,K2O,K2O
Potash Muriate,Potash,Muriate,USD/ton,"Price: Average, muriate, f.o.b. mine, dollars per ton of KO. Data are estimated for the most recent year.",466.0,0.5136770708907648,Potassium Chloride,,pubchem_formula,ClK,ClK
Pumice and Pumicite ,Pumice and Pumicite,,USD/ton,"Price: Average value, f.o.b. mine or mill, dollars per ton. Data are estimated for the most recent year.",32.4,0.035714886473950165,Pumice,,material_name,C28FH37O7,Pumice
Quartz Crystal (Industrial) Cultured,Quartz Crystal (Industrial),Cultured,USD/kg,"Price, dollars per kilogram: As-grown cultured quartz. Data are estimated for the most recent year.",236.0,236.0,Quartz,,material_name,O2Si,Quartz
Quartz Crystal (Industrial) Lumbered,Quartz Crystal (Industrial),Lumbered,USD/kg,"Price, dollars per kilogram: Lumbered quartz. As-grown cultured quartz that has been processed by sawing and grinding. Data are estimated for the most recent year.",420.0,420.0,Quartz,,material_name,O2Si,Quartz
Rare Earths CeO2,Rare Earths,CeO2,USD/kg,"Price: Average, dollars per kilogram: Cerium oxide, 99.5% minimum. Source: Argus Media group—Argus Metals International. Data are estimated for the most recent year.",2.0,2.0,,CeO2,molecular_formula,,CeO2
Rare Earths Dy2O3,Rare Earths,Dy2O3,USD/kg,"Price: Average, dollars per kilogram: Dysprosium oxide, 99.5% minimum. Source: Argus Media group—Argus Metals International. Data are estimated for the most recent year.",253.2,253.2,,Dy2O3,molecular_formula,,Dy2O3
Rare Earths Eu2O3,Rare Earths,Eu2O3,USD/kg,"Price: Average, dollars per kilogram: Europium oxide, 99.99% minimum. Source: Argus Media group—Argus Metals International. Data are estimated for the most recent year.",45.4,45.4,,Eu2O3,molecular_formula,,Eu2O3
Rare Earths La2O3,Rare Earths,La2O3,USD/kg,"Price: Average, dollars per kilogram: Lanthanum oxide, 99.5% minimum. Source: Argus Media group—Argus Metals International. Data are estimated for the most recent year.",2.0,2.0,,La2O3,molecular_formula,,La2O3
Rare Earths Mischmetal,Rare Earths,Mischmetal,USD/kg,"Price: Average, dollars per kilogram: Mischmetal, 65% cerium, 35% lanthanum. Source: Argus Media group—Argus Metals International. Data are estimated for the most recent year.",5.8,5.8,Mischmetal,,material_name,C3CeH8LaNd,Mischmetal
Rare Earths Nd2O3,Rare Earths,Nd2O3,USD/kg,"Price: Average, dollars per kilogram: Neodymium oxide, 99.5% minimum. Source: Argus Media group—Argus Metals International. Data are estimated for the most recent year.",48.6,48.6,,Nd2O3,molecular_formula,,Nd2O3
Rare Earths TbO2,Rare Earths,TbO2,USD/kg,"Price: Average, dollars per kilogram: Terbium oxide, 99.99% minimum. Source: Argus Media group—Argus Metals International. Data are estimated for the most recent year.",686.6,686.6,,TbO2,molecular_formula,,TbO2
Rhenium Metal,Rhenium,Metal,USD/kg,"Price, average value, gross weight, dollars per kilogram: Metal pellets, 99.99% pure. Average price per kilogram of rhenium in pellets or catalytic-grade ammonium perrhenate. Source: Argus Media group—Argus Metals International. Data are estimated for the most recent year.",1266.0,1266.0,Rhenium,,pubchem_formula,Re,Re
Rhenium NH4ReO4,Rhenium,NH4ReO4,USD/kg,"Price, average value, gross weight, dollars per kilogram: Ammonium perrhenate. Average price per kilogram of rhenium in pellets or catalytic-grade ammonium perrhenate. Source: Argus Media group—Argus Metals International. Data are estimated for the most recent year.",1270.0,1270.0,Rhenium,,pubchem_formula,Re,Re
Salt Brine,Salt,Brine,USD/ton,"Price, average value of bulk, pellets and packaged salt, free on board (f.o.b.) mine and plant, dollars per ton: Salt in brine. Data are estimated for 2019, 2020, and 2021.",8.958,0.009874504723260668,Sodium Chloride,,pubchem_formula,ClNa,ClNa
Salt Rock,Salt,Rock,USD/ton,"Price, average value of bulk, pellets and packaged salt, free on board (f.o.b.) mine and plant, dollars per ton: Rock salt. Data are estimated for 2019, 2020, and 2021.",58.638,0.06463733064998425,Sodium Chloride,,pubchem_formula,ClNa,ClNa
Salt Solar,Salt,Solar,USD/ton,"Price, average value of bulk, pellets and packaged salt, free on board (f.o.b.) mine and plant, dollars per ton: Solar salt. Data are estimated for 2019, 2020, and 2021.",120.28800000000001,0.13259482296847278,Sodium Chloride,,pubchem_formula,ClNa,ClNa
Salt Vacuum,Salt,Vacuum,USD/ton,"Price, average value of bulk, pellets and packaged salt, free on board (f.o.b.) mine and plant, dollars per ton: Vacuum and open pan salt. Data are estimated for 2019, 2020, and 2021.",214.43200000000002,0.23637081902413837,Sodium Chloride,,pubchem_formula,ClNa,ClNa
Sand and Gravel (Construction) ,Sand and Gravel (Construction),,USD/ton,"Price: Average value, dollars per metric ton. Data are estimated for the most recent year.",9.344,0.01029999688927748,Gravel,,material_name,C15H21NO,Gravel
Sand and Gravel (Industrial) ,Sand and Gravel (Industrial),,USD/ton,"Price: Average value, dollars per ton. Data are estimated for the most recent year.",43.6,0.04806077315630332,Gravel,,material_name,C15H21NO,Gravel
Scandium Cmpds_Acetate,Scandium,Cmpds_Acetate,USD/g,"Price, yearend: Compounds, dollars per gram: Acetate, 99.9% purity, 5-gram lot size. Source: Alfa Aesar, a part of Thermo Fisher Scientific Inc. Data are estimated for the most recent year.",44.2,44200.0,Scandium Acetate,,pubchem_formula,C6H12O6Sc,C6H12O6Sc
Scandium Cmpds_Chloride,Scandium,Cmpds_Chloride,USD/g,"Price, yearend: Compounds, dollars per gram: Chloride, 99.9% purity, 5-gram lot size. Source: Alfa Aesar, a part of Thermo Fisher Scientific Inc. Data are estimated for the most recent year.",129.6,129600.0,Scandium Chloride,,pubchem_formula,Cl3Sc,Cl3Sc
Scandium Cmpds_Fluoride,Scandium,Cmpds_Fluoride,USD/g,"Price, yearend: Compounds, dollars per gram: Fluoride, 99.9% purity, 1- to 5-gram lot size. Source: Sigma-Aldrich, a part of MilliporeSigma. Data are estimated for the most recent year.",224.4,224400.0,Scandium Fluoride,,pubchem_formula,F3Sc,F3Sc
Scandium Cmpds_Iodide,Scandium,Cmpds_Iodide,USD/g,"Price, yearend: Compounds, dollars per gram: Iodide, 99.999% purity, 5-gram lot size. Source: Alfa Aesar, a part of Thermo Fisher Scientific Inc. Data are estimated for the most recent year.",165.4,165400.0,Scandium Iodide,,pubchem_formula,I3Sc,I3Sc
Scandium Cmpds_Oxide,Scandium,Cmpds_Oxide,USD/g,"Price, yearend: Compounds, dollars per gram: Oxide, 99.99% purity, 5-kilogram lot size. Source: Stanford Materials Corp. Data are estimated for the most recent year.",3.8199999999999994,3819.9999999999995,Scandium Oxide,,pubchem_formula,O3Sc2,O3Sc2
Scandium Mtl_Alloy,Scandium,Mtl_Alloy,USD/kg,"Price, yearend: Metal: Scandium-aluminum alloy, 1-kilogram lot size, dollars per kilogram. Source: Stanford Materials Corp. Data are estimated for the most recent year.",340.0,340.0,Scandium Aluminum Alloy,AlSc,molecular_formula,,AlSc
