,Commodity,price_info,full_name,price,price_units,Year,price_desc
75,Chromium,Ore,Chromium Ore,259,dt,2017,"Price, average annual unit value of imports, dollars per ton: Chromite ore (gross weight). Data are estimated for the most recent year."
76,Chromium,Ore,Chromium Ore,279,dt,2018,"Price, average annual unit value of imports, dollars per ton: Chromite ore (gross weight). Data are estimated for the most recent year."
77,Chromium,Ore,Chromium Ore,248,dt,2019,"Price, average annual unit value of imports, dollars per ton: Chromite ore (gross weight). Data are estimated for the most recent year."
78,Chromium,Ore,Chromium Ore,179,dt,2020,"Price, average annual unit value of imports, dollars per ton: Chromite ore (gross weight). Data are estimated for the most recent year."
79,Chromium,Ore,Chromium Ore,210,dt,2021,"Price, average annual unit value of imports, dollars per ton: Chromite ore (gross weight). Data are estimated for the most recent year."
80,Chromium,Ferrrochromium,Chromium Ferrrochromium,2547,dt,2017,"Price, average annual unit value of imports, dollars per ton: Ferrochromium (chromium content). Excludes ferrochromium silicon. Data are estimated for the most recent year."
81,Chromium,Ferrrochromium,Chromium Ferrrochromium,2549,dt,2018,"Price, average annual unit value of imports, dollars per ton: Ferrochromium (chromium content). Excludes ferrochromium silicon. Data are estimated for the most recent year."
82,Chromium,Ferrrochromium,Chromium Ferrrochromium,2094,dt,2019,"Price, average annual unit value of imports, dollars per ton: Ferrochromium (chromium content). Excludes ferrochromium silicon. Data are estimated for the most recent year."
83,Chromium,Ferrrochromium,Chromium Ferrrochromium,1878,dt,2020,"Price, average annual unit value of imports, dollars per ton: Ferrochromium (chromium content). Excludes ferrochromium silicon. Data are estimated for the most recent year."
84,Chromium,Ferrrochromium,Chromium Ferrrochromium,2400,dt,2021,"Price, average annual unit value of imports, dollars per ton: Ferrochromium (chromium content). Excludes ferrochromium silicon. Data are estimated for the most recent year."
85,Chromium,Metal,Chromium Metal,9675,dt,2017,"Price, average annual unit value of imports, dollars per ton: Chromium metal (gross weight). Data are estimated for the most recent year."
86,Chromium,Metal,Chromium Metal,11344,dt,2018,"Price, average annual unit value of imports, dollars per ton: Chromium metal (gross weight). Data are estimated for the most recent year."
87,Chromium,Metal,Chromium Metal,10393,dt,2019,"Price, average annual unit value of imports, dollars per ton: Chromium metal (gross weight). Data are estimated for the most recent year."
88,Chromium,Metal,Chromium Metal,7931,dt,2020,"Price, average annual unit value of imports, dollars per ton: Chromium metal (gross weight). Data are estimated for the most recent year."
89,Chromium,Metal,Chromium Metal,7500,dt,2021,"Price, average annual unit value of imports, dollars per ton: Chromium metal (gross weight). Data are estimated for the most recent year."
90,Clays,Ball,Clays Ball,49,dt,2017,"Price, ex-works, average unit value, dollars per ton: Ball clay. Data are estimated for the most recent year."
91,Clays,Ball,Clays Ball,55,dt,2018,"Price, ex-works, average unit value, dollars per ton: Ball clay. Data are estimated for the most recent year."
92,Clays,Ball,Clays Ball,56,dt,2019,"Price, ex-works, average unit value, dollars per ton: Ball clay. Data are estimated for the most recent year."
93,Clays,Ball,Clays Ball,58,dt,2020,"Price, ex-works, average unit value, dollars per ton: Ball clay. Data are estimated for the most recent year."
94,Clays,Ball,Clays Ball,64,dt,2021,"Price, ex-works, average unit value, dollars per ton: Ball clay. Data are estimated for the most recent year."
95,Clays,Bentonite,Clays Bentonite,99,dt,2017,"Price, ex-works, average unit value, dollars per ton: Bentonite. Data are estimated for the most recent year."
96,Clays,Bentonite,Clays Bentonite,98,dt,2018,"Price, ex-works, average unit value, dollars per ton: Bentonite. Data are estimated for the most recent year."
97,Clays,Bentonite,Clays Bentonite,98,dt,2019,"Price, ex-works, average unit value, dollars per ton: Bentonite. Data are estimated for the most recent year."
98,Clays,Bentonite,Clays Bentonite,96,dt,2020,"Price, ex-works, average unit value, dollars per ton: Bentonite. Data are estimated for the most recent year."
99,Clays,Bentonite,Clays Bentonite,94,dt,2021,"Price, ex-works, average unit value, dollars per ton: Bentonite. Data are estimated for the most recent year."
100,Clays,Common,Clays Common,15,dt,2017,"Price, ex-works, average unit value, dollars per ton: Common clay. Data are estimated for the most recent year."
