index,specific_price,keep,title,link,search_text
Graphite,0.65,y,"Solid Synthetic Graphite Powder, For Industrial, Mesh Size: 0 To 5mm",https://www.indiamart.com/proddetail/synthetic-graphite-powder-12461585830.html?pos=6&kwd=graphite powder&tags=A||||9120.144|Price|proxy,graphite powder
HBr,2.86,y,Hydrobromic acid 48% HBR,https://www.indiamart.com/proddetail/hydrobromic-acid-48-hbr-26495119430.html?pos=6&kwd=hbr hydrobromic acid&tags=A||||7615.065|Price|product,hbr Hydrobromic acid
In,325.0,y,Indium Ingots,https://www.indiamart.com/proddetail/indium-ingots-17492147655.html?pos=7&kwd=indium metal&tags=A||||7533.29|Price|product,indium metal
In,390.0,y,Indium Metal Ingot,https://www.indiamart.com/proddetail/indium-metal-ingot-25469674733.html?pos=5&kwd=indium metal&tags=A||||9111.004|Price|proxy,indium metal
In,305.5,y,"Indium Metal, 500gms To 1kgs",https://www.indiamart.com/proddetail/indium-metal-2792727862.html?pos=4&kwd=indium metal&tags=A||||7533.29|Price|product,indium metal
K2CO3,0.832,y,"Granules Potassium Carbonate, Packaging Type: Pp Bag, Packaging Size: 25 Kg",https://www.indiamart.com/proddetail/potassium-carbonate-20838333597.html?pos=4&kwd=k2co3 potassium carbonate&tags=A||||7570.7876|Price|product,k2co3 potassium carbonate
K2CO3,1.3,y,"Potassium Carbonate TECHNICAL GRADE, Chemical Formula: K2CO3, Granules",https://www.indiamart.com/proddetail/potassium-carbonate-technical-grade-21029117088.html?pos=5&kwd=k2co3 potassium carbonate&tags=A||||7533.29|Price|proxy,k2co3 potassium carbonate
K2CO3,5.85,y,"Cynor potassium carbonate, 500gm bottle",https://www.indiamart.com/proddetail/cynor-potassium-carbonate-26934671855.html?pos=6&kwd=k2co3 potassium carbonate&tags=A||||7584.552|Price|proxy,k2co3 potassium carbonate
K2SO4,0.754,y,"Potassium Sulphate, Pack Size: 25 Kg And 50 Kg",https://www.indiamart.com/proddetail/potassium-sulphate-4836363155.html?pos=5&kwd=k2so4&tags=A||||7613.566|Price|proxy,K2SO4
K2SO4,0.3445,y,"Potassium Sulphate Powder, For Used Primarily As A Fertilizer",https://www.indiamart.com/proddetail/potassium-sulphate-powder-23047891412.html?pos=6&kwd=k2so4&tags=A||||7771.154|Price|product,K2SO4
KCl,0.46799999999999997,y,"Kcl Potassium Chloride, For Industries, Grade Standard: Technical",https://www.indiamart.com/proddetail/kcl-potassium-chloride-26753192997.html?pos=7&kwd=kcl potassium chloride&tags=A||||7615.065|Price|product,kcl potassium chloride
KCl,0.325,y,Industrial Solid Potassium Chloride (Technical Grade),https://www.indiamart.com/proddetail/potassium-chloride-technical-grade-19038378188.html?pos=5&kwd=kcl potassium chloride&tags=A||||7533.29|Price|proxy,kcl potassium chloride
KNO3,0.676,y,Potassium Nitrate Powder,https://www.indiamart.com/proddetail/potassium-nitrate-powder-12799227462.html?pos=6&kwd=kno3 potassium nitrate&tags=A||||8260.648|Price|proxy,kno3 potassium nitrate
KNO3,1.625,y,"KNO3 Crystal Potassium Nitrate, Grade Standard: Industrial Grade",https://www.indiamart.com/proddetail/crystal-potassium-nitrate-23056285673.html?pos=5&kwd=kno3 potassium nitrate&tags=A||||8062.1885|Price|proxy,kno3 potassium nitrate
KNO3,0.598,y,"White Potassium Nitrate, 25 Kilogram ,packaging Type: Bag",https://www.indiamart.com/proddetail/white-potassium-nitrate-19724933573.html?pos=4&kwd=kno3 potassium nitrate&tags=A||||8260.648|Price|proxy,kno3 potassium nitrate
KOH,1.105,y,"Caustic Potash, KOH Concentration: 99%, 1310-58-3",https://www.indiamart.com/proddetail/caustic-potash-9954283562.html?pos=7&kwd=koh potassium hydroxide&tags=A||||7533.29|Price|proxy,koh potassium hydroxide
KOH,2.6,y,Potassium Hydroxide Pellets,https://www.indiamart.com/proddetail/potassium-hydroxide-pellets-2055965833.html?pos=6&kwd=koh potassium hydroxide&tags=A||||8227.221|Price|proxy,koh potassium hydroxide
KOH,1.2349999999999999,y,Potassium Hydroxide Solution,https://www.indiamart.com/proddetail/potassium-hydroxide-solution-24804018533.html?pos=5&kwd=koh potassium hydroxide&tags=A||||7701.219|Price|proxy,koh potassium hydroxide
KOH,1.625,y,Potassium Hydroxide,https://www.indiamart.com/proddetail/potassium-hydroxide-22489545655.html?pos=4&kwd=koh potassium hydroxide&tags=A||||7533.29|Price|proxy,koh potassium hydroxide
Li2CO3,58.5,y,"Technical Grade Lithium Carbonate, For Industrial",https://www.indiamart.com/proddetail/lithium-carbonate-26245698630.html?pos=6&kwd=li2co3 lithium carbonate&tags=A||||7533.29|Price|proxy,li2co3 lithium carbonate
Li2CO3,35.1,y,"Industrial Lithium Carbonate, For Laboratory",https://www.indiamart.com/proddetail/lithium-carbonate-15407806597.html?pos=5&kwd=li2co3 lithium carbonate&tags=A||||7533.29|Price|product,li2co3 lithium carbonate
LiCl,52.0,y,Lithium Chloride,https://www.indiamart.com/proddetail/lithium-chloride-1675023048.html?pos=4&kwd=licl lithium chloride&tags=A||||7561.613|Price|product,licl lithium chloride
LiOH,21.45,y,"Technical,Industrial Powder Lithium Hydroxide For Battery Electrolyte",https://www.indiamart.com/proddetail/lithium-hydroxide-4996227997.html?pos=6&kwd=lioh lithium hydroxide&tags=A||||7533.29|Price|proxy,lioh lithium hydroxide
