,,materials,mat_basis,original_name,sub_type,mat_type,deltaG_chem,n_e,source,P_cavern,mu_total,mass_density,phase_change_T,sp_latent_heat,Cp,T_melt,T_max,VtoR,delta_height,notes,kth,vol_latent_heat,deltaH_thermochem,T_turning,C_kwh_orig,specific_capacitance,deltaV_cap,dielectric_breakdown,dielectric_constant,specific_strength,Qmax,deltaV
unit_row,,N/U,N/U,N/U,N/U,N/U,kilowatt_hour / mole,dimensionless,N/U,pascal,gram / mole,kilogram / meter ** 3,degree_Celsius,kilowatt_hour / kilogram,kilowatt_hour / kelvin / kilogram,degree_Celsius,degree_Celsius,dimensionless,meter,N/U,watt / kelvin / meter,megajoule / meter ** 3,kilowatt_hour / kilogram,degree_Celsius,USD / kilowatt_hour,farad / gram,volt,volt / meter,dimensionless,centimeter ** 3 * megapascal / gram,N/U,volt
SM_name,SM_type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cr5O12/Cr2O3,thermochemical,Cr2O3,,Cr5O12/Cr2O3,,oxides,,,Andre 2016,,,,,,,,,,,,,,0.0775277777777777,105.0,,,,,,,,
PtO2/PtO,thermochemical,PtO2,,PtO2/PtO,,oxides,,,Andre 2016,,,,,,,,,,,,,,0.0768055555555555,420.0,,,,,,,,
PbO2/PbO,thermochemical,PbO,,PbO2/PbO,,oxides,,,Andre 2016,,,,,,,,,,,,,,0.0641388888888888,295.0,,,,,,,,
Sb2O5/SbO2,thermochemical,Sb2O5,,Sb2O5/SbO2,,oxides,,,Andre 2016,,,,,,,,,,,,,,0.0584444444444444,325.0,,,,,,,,
Mn2O3/Mn3O4,thermochemical,MnO2,,Mn2O3/Mn3O4,,oxides,,,Andre 2016,,,,,,,,,,,,,,0.0528055555555555,915.0,,,,,,,,
N-propane,sensible_thermal,N-propane,mass,N-propane,cold,hydrocarbon,,,Antunez 2018,,,,,,0.0005611111111111,-188.0,-42.0,,,,0.17,,,,6.4,,,,,,,
Isopentane,sensible_thermal,Isopentane,mass,Isopentane,cold,hydrocarbon,,,Antunez 2018,,,,,,0.0005138888888888,-160.0,15.0,,,,0.14,,,,25.5,,,,,,,
N-pentane,sensible_thermal,N-pentane,mass,N-pentane,cold,hydrocarbon,,,Antunez 2018,,,,,,0.0005666666666666,-130.0,15.0,,,,0.14,,,,45.2,,,,,,,
Ethanol,sensible_thermal,Ethanol,mass,Ethanol,cold,hydrocarbon,,,Antunez 2018,,,,,,0.0005583333333333,-114.0,15.0,,,,0.18,,,,21.7,,,,,,,
Methanol,sensible_thermal,Methanol,mass,Methanol,cold,hydrocarbon,,,Antunez 2018,,,,,,0.0006277777777777,-98.0,15.0,,,,,,,,15.8,,,,,,,
Water,sensible_thermal,Water,mass,Water,hot,other_fluid,,,Antunez 2018,,,,,,0.0011611111111111,15.0,100.0,,,,0.65,,,,0.2,,,,,,,
Ethylene glycol,sensible_thermal,Ethylene glycol,mass,Ethylene glycol,hot,other_fluid,,,Antunez 2018,,,,,,0.0007805555555555,15.0,197.0,,,,0.22,,,,25.0,,,,,,,
Vegetable Oil,sensible_thermal,Vegetable Oil,mass,Sunflower oil,hot,oil,,,Antunez 2018,,,,,,0.0007,15.0,250.0,,,,0.16,,,,6.8,,,,,,,
HITEC XL,sensible_thermal,HITEC XL,mass,Hitec XL,hot,molten_salt,,,Antunez 2018,,,,,,0.0004027777777777,120.0,500.0,,,,0.2,,,,6.7,,,,,,,
Solar Salt,sensible_thermal,Solar Salt,mass,Solar salt,hot,molten_salt,,,Antunez 2018,,,,,,0.0004305555555555,230.0,600.0,,,,0.55,,,,5.5,,,,,,,
Na,sensible_thermal,Na,mass,Sodium,hot,metal,,,Antunez 2018,,,,,,0.0003472222222222,98.0,600.0,,,,46.0,,,,22.5,,,,,,,
NaK,sensible_thermal,"[('Na', 0.5), ('K', 0.5)]",molar,Eutectic Na-K,hot,metal,,,Antunez 2018,,,,,,0.0002416666666666,15.0,600.0,,,,26.2,,,,31.1,,,,,,,
Al,sensible_thermal,Al,,Aluminum 99.99 %,hot,metal,,,Bauer 2012,,,2700.0,,,0.0002625,,,,,,238.4,,,,,,,,,,,
Cu,sensible_thermal,Cu,,Copper (commercial),hot,metal,,,Bauer 2012,,,8300.0,,,0.0001163888888888,,,,,,372.0,,,,,,,,,,,
Fe,sensible_thermal,Fe,,Iron,hot,metal,,,Bauer 2012,,,7850.0,,,0.0001291666666666,,,,,,59.3,,,,,,,,,,,
Pb,sensible_thermal,Pb,,Lead,hot,metal,,,Bauer 2012,,,11340.0,,,3.638888888888889e-05,,,,,,35.25,,,,,,,,,,,
Granite,sensible_thermal,Stone,,Granite,both,rock,,,Bauer 2012,,,2750.0,,,0.0002472222222222,,,,,,2.9,,,,,,,,,,,
Graphite,sensible_thermal,Graphite,,Graphite,hot,other_solid,,,Bauer 2012,,,2200.0,,,0.0001694444444444,,,,,,155.0,,,,,,,,,,,
Limestone,sensible_thermal,Stone,,Limestone,both,rock,,,Bauer 2012,,,2500.0,,,0.0002055555555555,,,,,,2.2,,,,,,,,,,,
Sandstone,sensible_thermal,Stone,,Sandstone,both,rock,,,Bauer 2012,,,2200.0,,,0.0001972222222222,,,,,,1.8,,,,,,,,,,,
NaCl,sensible_thermal,NaCl,,Sodium chloride,hot,molten_salt,,,Bauer 2012,,,2165.0,,,0.0002388888888888,,,,,,6.5,,,,,,,,,,,
