,,sub_type,mat_type,C_kwh,specific_energy,specific_price,materials,mat_basis,SM_sources,price_sources,Cp,P_cavern,Qmax,T_max,T_melt,T_min,T_turning,VtoR,deltaG_chem,deltaH_thermochem,deltaT,deltaV,deltaV_cap,delta_height,dielectric_breakdown,dielectric_constant,mass_density,mu_total,n_e,notes,original_name,phase_change_T,sp_latent_heat,specific_capacitance,specific_strength,vol_latent_heat
unit_row,,N/U,N/U,USD / kilowatt_hour,kilowatt_hour / kilogram,USD / kilogram,N/U,N/U,N/U,N/U,kilowatt_hour / kelvin / kilogram,pascal,N/U,degree_Celsius,degree_Celsius,degree_Celsius,degree_Celsius,dimensionless,kilowatt_hour / mole,kilowatt_hour / kilogram,delta_degree_Celsius,volt,volt,meter,volt / meter,dimensionless,kilogram / meter ** 3,gram / mole,dimensionless,N/U,N/U,degree_Celsius,kilowatt_hour / kilogram,farad / gram,centimeter ** 3 * megapascal / gram,megajoule / meter ** 3
Ba/Bi,coupled_battery,liquid_metal_battery,,88.58299218159122,0.3773872543667972,33.430092203006176,"[('Ba', 0.6666666666666666), ('Bi', 0.33333333333333337)]",molar,Kim 2013,"0 : Alibaba, Kim 2013, 1 : Alibaba, ISE, Indiamart, Kim 2013, USGS",,,,,,20.0,,,,,,1.135,,,,,,161.2114666666667,2.0,,Ba/Bi,,,,,
Ba/Cd,coupled_battery,liquid_metal_battery,,,,,"[('Ba', 0.6666666666666666), ('Cd', 0.33333333333333337)]",molar,,,,,,,,20.0,,,,,,,,,,,,,2.0,,Ba/Cd,,,,,
Ba/Ga,coupled_battery,liquid_metal_battery,,,,,"[('Ba', 0.6666666666666666), ('Ga', 0.33333333333333337)]",molar,,,,,,,,20.0,,,,,,,,,,,,,2.0,,Ba/Ga,,,,,
Ba/Hg,coupled_battery,liquid_metal_battery,,,,,"[('Ba', 0.6666666666666666), ('Hg', 0.33333333333333337)]",molar,,,,,,,,20.0,,,,,,,,,,,,,2.0,,Ba/Hg,,,,,
Ba/In,coupled_battery,liquid_metal_battery,,,,,"[('Ba', 0.6666666666666666), ('In', 0.33333333333333337)]",molar,,,,,,,,20.0,,,,,,,,,,,,,2.0,,Ba/In,,,,,
Ba/Pb,coupled_battery,liquid_metal_battery,,108.14009821033946,0.2803318017490776,30.315108572626666,"[('Ba', 0.6666666666666666), ('Pb', 0.33333333333333337)]",molar,Kim 2013,"0 : Alibaba, Kim 2013, 1 : Alibaba, DERA, Indiamart, Kim 2013, Li 2017, SMM, USGS",,,,,,20.0,,,,,,0.8400000000000001,,,,,,160.618,2.0,,Ba/Pb,,,,,
Ba/Sb,coupled_battery,liquid_metal_battery,,74.36257847441517,0.5172133804557861,38.461320592160945,"[('Ba', 0.6666666666666666), ('Sb', 0.33333333333333337)]",molar,Kim 2013,"0 : Alibaba, Kim 2013, 1 : Alibaba, ISE, Indiamart, Kim 2013, USGS",,,,,,20.0,,,,,,1.275,,,,,,132.138,2.0,,Ba/Sb,,,,,
Ba/Sn,coupled_battery,liquid_metal_battery,,119.44148298582401,0.3658785713317268,43.701079152596044,"[('Ba', 0.6666666666666666), ('Sn', 0.33333333333333337)]",molar,Kim 2013,"0 : Alibaba, Kim 2013, 1 : Alibaba, DERA, Huang 2021, Indiamart, Kim 2013, SMM, USGS",,,,,,20.0,,,,,,0.895,,,,,,131.12133333333333,2.0,,Ba/Sn,,,,,
Ba/Te,coupled_battery,liquid_metal_battery,,,,,"[('Ba', 0.6666666666666666), ('Te', 0.33333333333333337)]",molar,,,,,,,,20.0,,,,,,,,,,,,,2.0,,Ba/Te,,,,,
Ba/Tl,coupled_battery,liquid_metal_battery,,,,,"[('Ba', 0.6666666666666666), ('Tl', 0.33333333333333337)]",molar,,,,,,,,20.0,,,,,,,,,,,,,2.0,,Ba/Tl,,,,,
