,specific_price,molecular_formula,mass_density,source,original_name,notes,material_name,index_use,molecular_formula_norm,specific_strength
unit_row,USD / kilogram,N/U,kilogram / meter ** 3,N/U,N/U,N/U,N/U,N/U,N/U,centimeter ** 3 * megapascal / gram
KNO3,7.0,KNO3,,Alva 2018,KNO3,,,,,
Mg(NO3)2,226.0,Mg(NO3)2,,Alva 2018,Mg (NO3)2,,,,,
Na2CO3,3.0,Na2CO3,,Alva 2018,Na2CO3,,,,,
K2CO3,7.0,K2CO3,,Alva 2018,K2CO3,,,,,
CaCO3,8.0,CaCO3,,Alva 2018,CaCO3,,,,,
Li2CO3,111.0,Li2CO3,,Alva 2018,Li2CO3,,,,,
ZnCl2,14.0,ZnCl2,,Alva 2018,ZnCl2,,,,,
NaCl,2.8,NaCl,,Alva 2018,NaCl,,,,,
KCl,7.6,KCl,,Alva 2018,KCl,,,,,
MgCl2,55.0,MgCl2,,Alva 2018,MgCl2,,,,,
LiCl,55.0,LiCl,,Alva 2018,LiCl,,,,,
CaCl2,5.3,CaCl2,,Alva 2018,CaCl2,,,,,
Na2SO4,3.4,Na2SO4,,Alva 2018,Na2SO4,,,,,
Li2SO4,180.0,Li2SO4,,Alva 2018,Li2SO4,,,,,
K2SO4,8.25,K2SO4,,Alva 2018,K2SO4,,,,,
MgSO4,13.7,MgSO4,,Alva 2018,MgSO4,,,,,
CaSO4,27.0,CaSO4,,Alva 2018,CaSO4,,,,,
LiF,220.0,LiF,,Alva 2018,LiF,,,,,
NaF,7.6,NaF,,Alva 2018,NaF,,,,,
KF,203.0,KF,,Alva 2018,KF,,,,,
CaF2,11.4,CaF2,,Alva 2018,CaF2,,,,,
NaOH,4.1,NaOH,,Alva 2018,NaOH,,,,,
KOH,5.0,KOH,,Alva 2018,KOH,,,,,
LiOH,165.0,LiOH,,Alva 2018,LiOH,,,,,
Syltherm XLT,29.4,,,Alva 2018,Syltherm XLT,,,,,
Vegetable Oil,0.835,C57H104O9,,Alva 2018,Vegetable oil,,,,,
HITEC XL,1.19,(NaNO3)7(KNO3)45(Ca(NO3)2)48,,Alva 2018,"HITEC XL, NaNO3e KNO3eCa(NO3)2",,,,,
Na,2.0,Na,,Alva 2018,Sodium (Na),,,,,
NaK,2.0,NaK,,Alva 2018,Sodium(22.2%)epotassium (77.8%) eutectic (NaK),,,,,
PbBi,13.0,PbBi,,Alva 2018,Lead(44.5%)ebismuth(55.5%) eutectic (LBE),,,,,
N-propane,0.5,,,Antunez 2018,N-propane,,N-propane,material_name,,
Isopentane,1.2,,,Antunez 2018,Isopentane,,Isopentane,material_name,,
N-pentane,1.4,,,Antunez 2018,N-pentane,,N-pentane,material_name,,
Ethanol,0.5,,,Antunez 2018,Ethanol,,Ethanol,material_name,,
Methanol,0.3,,,Antunez 2018,Methanol,,Methanol,material_name,,
Water,0.002,,,Antunez 2018,Water,,Water,material_name,,
Ethylene glycol,0.8,,,Antunez 2018,Ethylene glycol,,Ethylene glycol,material_name,,
Vegetable Oil,0.3,,,Antunez 2018,Sunflower oil,,Vegetable Oil,material_name,,
HITEC XL,0.5,,,Antunez 2018,Hitec XL,,HITEC XL,material_name,,
Solar Salt,0.5,,,Antunez 2018,Solar salt,,Solar Salt,material_name,,
Na,2.0,Na,,Antunez 2018,Sodium,,Na,molecular_formula,Na,
NaK,2.0,NaK,,Antunez 2018,Eutectic Na-K,,NaK,molecular_formula,KNa,
Al,3.07,Al,,Kale 2018,"Al-2024, Al-6061-T6, Al-7075-T6",,,,,139.65766877885383
