,year,C_kwh_orig,ancat,type,deltaV,materials,energy_type,source,original_name
Na/Bi,,,,Liquid Metal,0.605,"['Na', 'Bi']",electrochemical,Kim 2013,Na/Bi
K/Bi,,,,Liquid Metal,0.675,"['K', 'Bi']",electrochemical,Kim 2013,K/Bi
Mg/Bi,,,,Liquid Metal,0.325,"['Mg', 'Bi']",electrochemical,Kim 2013,Mg/Bi
Ca/Bi,,,,Liquid Metal,0.845,"['Ca', 'Bi']",electrochemical,Kim 2013,Ca/Bi
Ba/Bi,,,,Liquid Metal,1.135,"['Ba', 'Bi']",electrochemical,Kim 2013,Ba/Bi
Li/Te,,,,Liquid Metal,1.73,"['Li', 'Te']",electrochemical,Kim 2013,Li/Te
Na/Te,,,,Liquid Metal,1.595,"['Na', 'Te']",electrochemical,Kim 2013,Na/Te
K/Te,,,,Liquid Metal,1.785,"['K', 'Te']",electrochemical,Kim 2013,K/Te
Mg/Te,,,,Liquid Metal,,"['Mg', 'Te']",electrochemical,Kim 2013,Mg/Te
Ca/Te,,,,Liquid Metal,,"['Ca', 'Te']",electrochemical,Kim 2013,Ca/Te
Ba/Te,,,,Liquid Metal,,"['Ba', 'Te']",electrochemical,Kim 2013,Ba/Te
