index,source,material_names,energy_types,num_source,specific_price_refs,specific_price_element,specific_price,price_type
H2O2Sr,Andre 2016,,thermochemical,1,,4.821514,4.821514,Element
H2O2Zn,Andre 2016,,thermochemical,1,,1.7551254,1.7551254,Element
H2SO4,Li 2017,,,1,0.2,0.1593358,0.2,Ref(s)
H3N,"USGS, Liu 2016, Liu 2016","Ammonia, Silica",,3,0.7130501,0.3619482,0.7130501,Ref(s)
H4NO3V,ISE,,,1,16.913,161.6913808,16.913,Ref(s)
H8N2O4W,ISE,,,1,20.1323333,22.9454634,20.1323333,Ref(s)
HBr,Li 2017,,,1,3.33,4.3526261,3.33,Ref(s)
HCl,Li 2017,,,1,0.65,0.1181639,0.65,Ref(s)
HITEC XL,Alva 2018 (Sensible),HITEC XL,sensible_thermal,1,1.19,,1.19,Ref(s)
HLiO,"ISE, Alva 2018 (Latent)",,latent_thermal,2,89.090625,24.3602525,89.090625,Ref(s)
HNaO,Alva 2018 (Latent),,latent_thermal,1,4.1,1.8210039,4.1,Ref(s)
Hf,USGS,,,1,0.9038953,900.0,0.9038953,Ref(s)
Hg,"USGS, Kim 2013",,,2,24.2285151,30.2,24.2285151,Ref(s)
Hitec,Liu 2016,Hitec,,1,0.93,,0.93,Ref(s)
Hitec XL,Liu 2016,Hitec XL,,1,1.43,,1.43,Ref(s)
I2,USGS,,,1,26.392,35.0,26.392,Ref(s)
I3Sc,USGS,,,1,165400.0,396.7220654,165400.0,Ref(s)
In,"USGS, ISE, Kim 2013",,,3,359.7216387,167.0,359.7216387,Ref(s)
Ir,USGS,,,1,2.3635605,55850.0,2.3635605,Ref(s)
Iron Ore,"USGS, Andre 2016, Olympios 2021, Grosu 2017","Iron Ore, Iron Ore, Iron Ore","thermochemical, sensible_thermal",4,0.1190765,,0.1190765,Ref(s)
Iron Oxide Pigment,USGS,,,1,1.03,,1.03,Ref(s)
K,Kim 2013,,,1,130.4404539,12.85,130.4404539,Ref(s)
K2CO3,Liu 2016,Potassium Carbonate,,1,1.1,7.3346559,1.1,Ref(s)
K2O,USGS,,,1,0.9193276,10.6936009,0.9193276,Ref(s)
K2O4S,Alva 2018 (Latent),,latent_thermal,1,8.25,5.8400876,8.25,Ref(s)
KF,"Alva 2018 (Latent), Alok 2021",,"latent_thermal, latent_thermal",2,104.15,9.3019041,104.15,Ref(s)
KFRP,Kale 2018,,virial_limited,1,27.1,,27.1,Ref(s)
