index,original_name,molecular_formula,specific_price,source,specific_strength,notes
CdH2O2,Cd(OH)2,CdH2O2,3.43,Li 2017,,
Cl3CrH12O6,CrCl3 6H2O,Cl3CrH12O6,2.04,Li 2017,,
ClCu,CuCl,ClCu,4.55,Li 2017,,
Cl2Fe,FeCl2,Cl2Fe,2.53,Li 2017,,
Water,DI H2O,H2O,0.001,Li 2017,,
Graphite,Graphite,C,12.0,Li 2017,,
H2O4S,H2SO4,H2O4S,0.2,Li 2017,,
BrH,HBr,BrH,3.33,Li 2017,,
ClH,HCl,ClH,0.65,Li 2017,,
HKO,KOH,HKO,0.82,Li 2017,,
LaNi5,LaNi5,LaNi5,10.05,Li 2017,,
Lithium Cobaltate,LCO,CoLiO2,40.0,Li 2017,,
LFP,LFP,FeLiO4P,10.0,Li 2017,,
Li2S,Li2S,Li2S,1.87,Li 2017,,
Li2O4S,Li2SO4,Li2O4S,0.85,Li 2017,,
Lithium Hydroxide Monohydrate,LiOH H2O,H3LiO2,1.52,Li 2017,,
Li,Lithium metal,Li,50.05,Li 2017,,
LMO,LMO,LiMn2O4,10.0,Li 2017,,
LMP,LMP,LiMnO4P,10.0,Li 2017,,
LMNO,LNMO,Li2Mn3NiO8,20.0,Li 2017,,
LRMO LMNO,LRMO LMNO,Li26Mn13Ni7O46,20.0,Li 2017,,
LTO,LTO,Li4O12Ti5,12.0,Li 2017,,
Mg,Mg,Mg,2.43,Li 2017,,
MnO2,MnO2,MnO2,1.52,Li 2017,,
MoS2,MoS2,MoS2,30.02,Li 2017,,
Na,Na,Na,3.0,Li 2017,,
Na2S,Na2S,Na2S,0.72,Li 2017,,
Na2O4S,Na2SO4,Na2O4S,0.07,Li 2017,,
H4Na2O4Zn,Na2Zn(OH)4,H4Na2O4Zn,0.68,Li 2017,,
BrNa,NaBr,BrNa,1.51,Li 2017,,
ClNa,NaCl,ClNa,0.04,Li 2017,,
HNaO,NaOH,HNaO,0.34,Li 2017,,
NCA,NCA,AlCo3Li20Ni16O40,34.0,Li 2017,,
NCM111,NCM111,Co33Li100Mn33Ni33O200,20.0,Li 2017,,
NCM622,NCM622,CoLi5MnNi3O10,25.0,Li 2017,,
ClH4N,NH4Cl,ClH4N,0.14,Li 2017,,
H2NiO2,Ni(OH)2,H2NiO2,20.0,Li 2017,,
Cl2H12NiO6,NiCl2 6H2O,Cl2H12NiO6,5.1,Li 2017,,
NMO,NMO,Mn25Na11O50,5.0,Li 2017,,
NTP,NTP,NaO12P3Ti2,10.0,Li 2017,,
P2-NMO,P2-Na2Mn2NiO6,Mn67Na67Ni33O200,15.0,Li 2017,,
Pb,Pb,Pb,1.5,Li 2017,,
Pb2Sb,Pb2Sb,Pb2Sb,3.0,Li 2017,,
PPy-AC,PPy-AC,,30.0,Li 2017,,
S,S,S,0.25,Li 2017,,
Polysilicon,Si,Si,40.0,Li 2017,,
S2Ti,Ti2S4,S2Ti,80.0,Li 2017,,
S2Ti,TiS2,S2Ti,80.0,Li 2017,,
H8O9SV,VOSO4 4H2O,H8O9SV,10.2,Li 2017,,
Zn,Zn,Zn,3.0,Li 2017,,
O20V8Zn,Zn0.25V2O5,O20V8Zn,10.0,Li 2017,,
Br2Zn,ZnBr2,Br2Zn,1.56,Li 2017,,
H14O11SZn,ZnSO4 7H2O,H14O11SZn,0.41,Li 2017,,
Air,,O2,0.0,Li 2017,,
MgO4S,MgSO4/MgO,MgO4S,,Andre 2016,,
MnO4S,MnSO4/MnO,MnO4S,,Andre 2016,,
FeO4S,FeSO4/FeO,FeO4S,,Andre 2016,,
CoO4S,CoSO4/CoO,CoO4S,,Andre 2016,,
CuO4S,CuSO4/CuO,CuO4S,,Andre 2016,,
O4SZn,ZnSO4/ZnO,O4SZn,,Andre 2016,,
CdO4S,CdSO4/CdO,CdO4S,,Andre 2016,,
NiO4S,NiSO4/NiO,NiO4S,,Andre 2016,,
CCaO3,CaCO3/CaO,CCaO3,,Andre 2016,,
CO3Sr,SrCO3/SrO,CO3Sr,,Andre 2016,,
CMgO3,MgCO3/MgO,CMgO3,,Andre 2016,,
BaCO3,BaCO3/BaO,BaCO3,,Andre 2016,,
CCdO3,CdCO3/CdO,CCdO3,,Andre 2016,,
CO3Zn,ZnCO3/ZnO,CO3Zn,,Andre 2016,,
CO3Pb,PbCO3/PbO,CO3Pb,,Andre 2016,,
CaH2O2,Ca(OH)2/CaO,CaH2O2,,Andre 2016,,
H2MgO2,Mg(OH)2/MgO,H2MgO2,,Andre 2016,,
BeH2O2,Be(OH)2/BeO,BeH2O2,,Andre 2016,,
H2MnO2,Mn(OH)2/MnO,H2MnO2,,Andre 2016,,
H2O2Sr,Sr(OH)2/SrO,H2O2Sr,,Andre 2016,,
BaH2O2,Ba(OH)2/BaO,BaH2O2,,Andre 2016,,
H2NiO2,Ni(OH)2/NiO,H2NiO2,,Andre 2016,,
H2O2Zn,Zn(OH)2/ZnO,H2O2Zn,,Andre 2016,,
CdH2O2,Cd(OH)2/CdO,CdH2O2,,Andre 2016,,
O3Rh2,Rh2O3/Rh2O,O3Rh2,,Andre 2016,,
O5V2,V2O5/V2O4,O5V2,,Andre 2016,,
Co3O4,Co3O4/CoO,Co3O4,,Andre 2016,,
MnO2,Mn3O4/MnO,MnO2,,Andre 2016,,
CuO,CuO/Cu2O,CuO,,Andre 2016,,
Li2O,Li2O2/Li2O,Li2O,,Andre 2016,,
Iron Ore,Fe2O3/Fe3O4,Fe2O3,,Andre 2016,,
BaO,BaO2/BaO,BaO,,Andre 2016,,
MgO,MgO2/MgO,MgO,,Andre 2016,,
Cr2O3,Cr5O12/Cr2O3,Cr2O3,,Andre 2016,,
O2Pt,PtO2/PtO,O2Pt,,Andre 2016,,
OPb,PbO2/PbO,OPb,,Andre 2016,,
O3Sb2,Sb2O5/SbO2,O3Sb2,,Andre 2016,,
MnO2,Mn2O3/Mn3O4,MnO2,,Andre 2016,,
Sand,Sand,O2Si,0.72,Liu 2016,,
CNa2O3,Na2CO3,CNa2O3,0.23,Liu 2016,,
CK2O3,K2CO3,CK2O3,1.1,Liu 2016,,
CLi2O3,Li2CO3,CLi2O3,7.0,Liu 2016,,
Solar Salt,Solar Salt,,0.49,Liu 2016,,
Hitec XL,Hitec XL,,1.43,Liu 2016,,
Hitec,Hitec,,0.93,Liu 2016,,
H3N,Anhydrous,H3N,0.7,Liu 2016,,
Vermiculite,Vermiculite,AlFeH3MgO6Si,0.33,Liu 2016,,
H3N,Silica Gel,H3N,1.11,Liu 2016,,
Zeolite,Zeolite,Al2O5Si,1.93,Liu 2016,,
C,Activated Carbon,C,2.75,Liu 2016,,
Graphite,Expanded Natural,C,2.15,Liu 2016,,
Al2O3,Activated Alumina,Al2O3,1.32,Liu 2016,,
ClK,KCl,ClK,0.35,Liu 2016,,
Cl2Mg,MgCl2,Cl2Mg,0.2,Liu 2016,,
ClNa,NaCl,ClNa,0.12,Liu 2016,,
ClLi,LiCl,ClLi,7.8,Liu 2016,,
Al,"Al-2024, Al-6061-T6, Al-7075-T6",Al,3.07,Kale 2018,139.65766877885386,
CFRP,"AS4-3501–6, AS4–8552, IM7-8551–7, IM7–8552, T300-BSL914C, T300-PR319",,31.38,Kale 2018,1080.8619647171968,
GRE,"E-Glass Epoxy, S-2 Glass Epoxy",,24.815,Kale 2018,571.1028459917998,
KFRP,Kevlar-49 Epoxy,,27.1,Kale 2018,597.1820809248555,
Steel,"Carbon-Steel-1020, Stainless-Steel-15-7, Stainless-Steel-440C, Stainless-Steel-455, Steel-18Ni-300, Steel-4340",Fe,1.7566666666666666,Kale 2018,109.40030340257688,
Li,Li,Li,61.95965417867435,Kim 2013,,
Na,Na,Na,2.479363725045613,Kim 2013,,
K,K,K,130.44045393277966,Kim 2013,,
Mg,Mg,Mg,2.8389220325036004,Kim 2013,,
Ca,Ca,Ca,3.493188282848445,Kim 2013,,
Ba,Ba,Ba,5.971149154936756,Kim 2013,,
Zn,Zn,Zn,2.294279596206791,Kim 2013,,
Cd,Cd,Cd,3.469318768124966,Kim 2013,,
Hg,Hg,Hg,1.3460157932519743,Kim 2013,,
Al,Al,Al,2.4461170086580384,Kim 2013,,
Ga,Ga,Ga,731.4659438062046,Kim 2013,,
In,In,In,644.4982494034036,Kim 2013,,
Tl,Tl,Tl,5871.415989822879,Kim 2013,,
Sn,Sn,Sn,26.95644848791172,Kim 2013,,
Pb,Pb,Pb,2.509652509652509,Kim 2013,,
Sb,Sb,Sb,14.783180026281208,Kim 2013,,
Bi,Bi,Bi,23.447174950378123,Kim 2013,,
Te,Te,Te,344.82758620689657,Kim 2013,,
Iron Ore,Magnetite,Fe2O3,0.139,Olympios 2021,,
Solar Salt,Molten Salt,NaNO3KNO3,1.0,Olympios 2021,,
Synthetic H2,Synthetic H2,H2,0.009,Calculation,,Assuming Water cost 0.001 $/kg
Synthetic CH4 (Sabatier),Synthetic CH4 (Sabatier),CH4,0.095,Calculation,,Revist: Sabbatier reaction Using previously calculated H2 cost and carbon cost
Synthetic NH3 (Haber-Bosch),Synthetic NH3 (Haber-Bosch),NH3,0.0592,Calculation,,Using elemental N2 cost and previously calculated H2 cost
Synthetic H2 (Cavern),Synthetic H2 (Cavern),H2,0.36,Ahluwalia,,"Ahluwalia, Rajesh. “System Level Analysis of Hydrogen Storage Options,” n.d., 42"
Water Reservoir Excavation,Pumped Hydro,,0.261,Calculation/Black and Veatch,,Based on Black and Veatch 2012 resirvoir cost numbers. 
Graphene,Graphene,C6,90.0,Graphene Lab,,https://www.i-graphenelab.com/price/
FLi,LiF,FLi,0.0325,Alok 2021,,
FNa,NaF,FNa,1.61,Alok 2021,,
FK,KF,FK,5.3,Alok 2021,,
F2Mg,MgF2,F2Mg,0.87,Alok 2021,,
CaF2,CaF2,CaF2,0.12,Alok 2021,,
ClLi,LiCl,ClLi,8.0,Alok 2021,,
ClNa,NaCl,ClNa,0.049,Alok 2021,,
ClK,KCl,ClK,0.455,Alok 2021,,
Cl2Mg,MgCl2,Cl2Mg,0.342,Alok 2021,,
CaCl2,CaCl2,CaCl2,0.2,Alok 2021,,
CLi2O3,Li2CO3,CLi2O3,7.05,Alok 2021,,
CNa2O3,Na2CO3,CNa2O3,0.324,Alok 2021,,
CK2O3,K2CO3,CK2O3,1.1,Alok 2021,,
Cu,Copper (Cu),Cu,3.25,Alok 2021,,
Ni,Nickel (Ni),Ni,6.25,Alok 2021,,
Cr,Chromium (Cr),Cr,5.25,Alok 2021,,
V,Vanadium (V),V,205.0,Alok 2021,,
Metallurgical Silicon,Silicon (Si),Si,1.35,Alok 2021,,
B,Boron (B),B,22.5,Alok 2021,,
Al,Aluminium (Al),Al,1.75,Alok 2021,,
BaCO3,BaCO3 barium carbonate,BaCO3,0.3295454545454545,alibaba,,
BaH2O2,Ba(OH)2 barium,BaH2O2,0.1,alibaba,,
BaO,barium oxide BaO,BaO,0.3,alibaba,,
BaO2,BaO2 barium oxide,BaO2,10.0,alibaba,,
CCdO3,CdCO3 cadmium carbonate,CCdO3,0.5,alibaba,,
CMgO3,MgCO3 magnesium carbonate,CMgO3,1.003943,alibaba,,
CNT,Carbon Nanotube,C6,100.0,alibaba,,
CO3Pb,PbCO3 lead carbonate,CO3Pb,0.136,alibaba,,
CO3Sr,SrCO3 strontium carbonate,CO3Sr,1.4323009090909091,alibaba,,
CaH2O2,Ca(OH)2 calcium hydrate,CaH2O2,0.7600555555555555,alibaba,,
CaN2O6,Calcum nitrate Ca(NO3)2,CaN2O6,0.83,alibaba,,
CdH2O2,Cd(OH)2 cadmium hydroxide,CdH2O2,10.0,alibaba,,
CdO4S,CdSO4 cadmium sulphate,CdO4S,0.77,alibaba,,
Cr2O3,Cr2O3 chromium oxide,Cr2O3,1.0,alibaba,,
CuO,Copper Oxide CuO,CuO,17.8,alibaba,,
CuO4S,Copper Sulfate CuSO4,CuO4S,1.088625,alibaba,,
FeO4S,Iron Sulfate FeSO4,FeO4S,0.0947142857142857,alibaba,,
Graphene Oxide,Graphene Oxide,C7H2O,400.0,alibaba,,
H2MgO2,Mg(OH)2 magnesium hydroxide,H2MgO2,0.73375,alibaba,,
H2NiO2,Ni(OH)2 nickel hydroxide,H2NiO2,0.482,alibaba,,
H2O2Sr,Sr(OH)2,H2O2Sr,1.3,alibaba,,
H2O2Zn,Zn(OH)2 zinc hydroxide,H2O2Zn,1.0,alibaba,,
MgO,MgO magnesium oxide,MgO,0.09,alibaba,,
MnO2,MnO2 manganese oxide,MnO2,177.36375,alibaba,,
NiO4S,NiSO4 nickel sulphate,NiO4S,3.362034375,alibaba,,
O3Sb2,Sb2O3 antimony oxide,O3Sb2,7.383333333333333,alibaba,,
O4SZn,ZnSO4 zinc sulphate,O4SZn,0.5632,alibaba,,
OPb,PbO lead oxide,OPb,2.7,alibaba,,
