index,source,num_source,molecular_formula,mu,Cp,kth,sp_latent_heat,phase_change_T,deltaH_thermochem,specific_strength,deltaG_chem,mass_density,dielectric_breakdown,dielectric_constant
Metallurgical Silicon,"Alok 2021, ISE, USGS",3,Si,28.085,,,0.5066111111111111,1410.0,,,,,,
Mg,"Alok 2021, Alva 2018, ISE, Kim 2013, Li 2017, USGS",6,Mg,24.305,,,0.1077777777777777,543.5,,,,,,
MgO,"Andre 2016, alibaba",2,,,,,,,0.1057222222222222,,,,,
MgO4S,"Alva 2018, Andre 2016",2,MgO4S,120.361,,,0.0338888888888888,1130.0,0.8048611111111111,,,,,
Mischmetal,USGS,1,C3CeH8LaNd,467.36046999999996,,,,,,,,,,
Mn,"ISE, USGS",2,Mn,54.938043,,,,,,,,,,
MnO2,"Andre 2016, ISE, Li 2017, alibaba",4,MnO2,86.936043,,,,,0.1445416666666666,,,,,
MnO4S,"Andre 2016, ISE",2,MnO4S,150.994043,,,,,0.65825,,,,,
Mo,"ISE, USGS",2,Mo,95.95,,,,,,,,,,
MoNa2O4,ISE,1,MoNa2O4,205.92553856,,,,,,,,,,
MoO3,ISE,1,MoO3,143.947,,,,,,,,,,
MoS2,"ISE, Li 2017",2,MoS2,160.07,,,,,,,,,,
NCA,Li 2017,1,LiNi0.8Co0.15Al0.05O2,96.08177602,,,,,,,,,,
NCM111,Li 2017,1,LiNi0.33Co0.33Mn0.33O2,95.88433021,,,,,,,,,,
NCM622,Li 2017,1,LiNi0.6Co0.2Mn0.2O2,96.9282874,,,,,,,,,,
NH4Cl,Li 2017,1,NH4Cl,53.489000000000004,,,,,,,,,,
NMO,Li 2017,1,Na0.44MnO2,97.05154148320001,,,,,,,,,,
NNaO3,Alva 2018,1,NNaO3,84.99376928000001,,,0.0477777777777777,306.0,,,,,,
NTP,Li 2017,1,NaTi2(PO4)3,403.633055274,,,,,,,,,,
NV,ISE,1,NV,64.9485,,,,,,,,,,
Na,"Alva 2018, Kim 2013, Li 2017",3,Na,22.98976928,0.0003611111111111,64.9,,,,,,,,
Na2CO3,Liu 2016,1,Na2CO3,105.98753856,,,,,,,,,,
Na2O4S,Alva 2018,1,Na2O4S,142.03553856000002,,,0.0458333333333333,884.0,,,,,,
Na2O4W,ISE,1,Na2O4W,293.81553856,,,,,,,,,,
Na2S,Li 2017,1,Na2S,78.03953856000001,,,,,,,,,,
Na2SO4,Li 2017,1,Na2SO4,142.03553856000002,,,,,,,,,,
Na2Zn(OH)4,Li 2017,1,Na2Zn(OH)4,179.38753856000002,,,,,,,,,,
NaBr,Li 2017,1,NaBr,102.89376928,,,,,,,,,,
NaCl,Li 2017,1,NaCl,58.43976928000001,,,,,,,,,,
NaK,Alva 2018,1,NaK,62.08806928,0.0002472222222222,26.3,,,,,,,,
NaOH,Li 2017,1,NaOH,39.99676928,,,,,,,,,,
Nb,USGS,1,Nb,92.90637,,,,,,,,,,
Nb2O5,ISE,1,Nb2O5,265.80773999999997,,,,,,,,,,
Nd2O3,USGS,1,Nd2O3,336.481,,,,,,,,,,
Ni,"Alok 2021, USGS",2,Ni,58.6934,,,0.0833333333333333,1728.0,,,,,,
Ni(OH)2,Li 2017,1,Ni(OH)2,92.7074,,,,,,,,,,
NiCl2(H2O)6,Li 2017,1,NiCl2(H2O)6,237.6834,,,,,,,,,,
NiO4S,"Andre 2016, alibaba",2,,,,,,,0.3998333333333334,,,,,
O2Pt,Andre 2016,1,,,,,,,0.0768055555555555,,,,,
O2Se,ISE,1,O2Se,110.96900000000001,,,,,,,,,,
O2Ti,"ISE, USGS",2,O2Ti,79.865,,,,,,,,,,
O2Zr,ISE,1,O2Zr,123.22200000000001,,,,,,,,,,
O3Rh2,Andre 2016,1,,,,,,,0.2728055555555556,,,,,
O3Sb2,"Andre 2016, ISE, alibaba",3,O3Sb2,291.517,,,,,0.0584444444444444,,,,,
O3Sc2,USGS,1,O3Sc2,137.908816,,,,,,,,,,
O3W,"ISE, USGS",2,O3W,231.837,,,,,,,,,,
O3Y2,USGS,1,O3Y2,225.80867999999998,,,,,,,,,,
O4SZn,"Andre 2016, alibaba",2,,,,,,,0.4911666666666667,,,,,
O4SiZr,"ISE, USGS",2,O4SiZr,183.305,,,,,,,,,,
O5Ta2,"ISE, USGS",2,O5Ta2,441.89076,,,,,,,,,,
O5V2,"Andre 2016, ISE",2,O5V2,181.878,,,,,0.2696944444444444,,,,,
OPb,"Andre 2016, alibaba",2,,,,,,,0.0641388888888888,,,,,
P2-NMO,Li 2017,1,Na0.67Mn0.67Ni0.33O2,103.5784562276,,,,,,,,,,
PPy-AC,Li 2017,1,,,,,,,,,,,,
Pb,"Kim 2013, Li 2017, USGS",3,Pb,207.2,,,,,,,,,,
Pb2Sb,Li 2017,1,Pb2Sb,536.16,,,,,,,,,,
PbBi,Alva 2018,1,PbBi,416.18039999999996,3.888888888888889e-05,14.9,,,,,,,,
Pd,USGS,1,Pd,106.42,,,,,,,,,,
Peat,USGS,1,K,39.0983,,,,,,,,,,
Perlite,USGS,1,Al2CaFe2K2MgNa2O12Si,574.28521536,,,,,,,,,,
Phosphorite,USGS,1,,,,,,,,,,,,
Polysilicon,"ISE, Li 2017",2,Si,28.085,,,,,,,,,,
Pt,USGS,1,Pt,195.084,,,,,,,,,,
Pumice,USGS,1,C28FH37O7,504.59540316299996,,,,,,,,,,
Quartz,USGS,1,O2Si,60.083,,,,,,,,,,
Quartzite,Alva 2018,1,SiO2,60.083,0.0002361111111111,2.0,,,,,,,,
Re,"ISE, USGS",2,Re,186.207,,,,,,,,,,
Rh,USGS,1,Rh,102.90549,,,,,,,,,,
Ru,USGS,1,Ru,101.07,,,,,,,,,,
S,Li 2017,1,S,32.06,,,,,,,,,,
Sand,Liu 2016,1,SiO2,60.083,,,,,,,,,,
Sb,"ISE, Kim 2013, USGS",3,Sb,121.76,,,,,,,,,,
Sc,USGS,1,Sc,44.955908,,,,,,,,,,
Se,"ISE, USGS",2,Se,78.971,,,,,,,,,,
Sn,"Kim 2013, USGS",2,Sn,118.71,,,,,,,,,,
Solar Salt,"Alva 2018, Liu 2016, Olympios 2021",3,NaNO3KNO3,186.09606928,0.0004166666666666,0.55,,,,,,,,
Sr,ISE,1,Sr,87.62,,,,,,,,,,
Steel,Kale 2018,1,Fe,55.845,,,,,,109.40030340257688,,,,
Stone,USGS,1,,,,,,,,,,,,
Syenite,USGS,1,,,,,,,,,,,,
Syltherm XLT,Alva 2018,1,,,0.0006030555555555,0.06,,,,,,,,
Synthetic CH4 (Sabatier),Calculation,1,,,,,,,,,15.4,,,
Synthetic H2,Calculation,1,,,,,,,,,39.4,,,
Synthetic H2 (Cavern),Ahluwalia,1,,,,,,,,,39.4,,,
Synthetic NH3 (Haber-Bosch),Calculation,1,,,,,,,,,6.25,,,
Ta,ISE,1,Ta,180.94788,,,,,,,,,,
Talc,USGS,1,H2Mg3O12Si4,379.259,,,,,,,,,,
TbO2,USGS,1,TbO2,190.923354,,,,,,,,,,
Te,"ISE, Kim 2013, USGS",3,Te,127.6,,,,,,,,,,
Th,USGS,1,Th,232.0377,,,,,,,,,,
Ti,"ISE, USGS",2,Ti,47.867,,,,,,,,,,
Ti2S4,Li 2017,1,Ti2S4,223.974,,,,,,,,,,
TiS2,Li 2017,1,TiS2,111.987,,,,,,,,,,
Tl,"Kim 2013, USGS",2,Tl,204.38,,,,,,,,,,
V,Alok 2021,1,V,50.9415,,,0.125,2183.0,,,,,,
VOSO4(H2O)4,Li 2017,1,VOSO4(H2O)4,235.05650000000003,,,,,,,,,,
Vegetable Oil,Alva 2018,1,C57H104O9,933.4499999999999,0.0006969444444444,0.11,,,,,,,,
Vermiculite,Liu 2016,1,AlFeH3MgO6Si,234.23453840000002,,,,,,,,,,
W,ISE,1,W,183.84,,,,,,,,,,
Water,Li 2017,1,H2O,18.015,,,,,,,,,,
Water Reservoir Excavation,Calculation/Black and Veatch,1,,,,,,,,,,,,
Y,USGS,1,Y,88.90584,,,,,,,,,,
Zeolite,Liu 2016,1,Al2O5Si,162.04307680000002,,,,,,,,,,
Zn,"Alok 2021, Kim 2013, Li 2017, USGS",4,Zn,65.38,,,0.0405555555555555,419.0,,,,,,
Zn0.25V2O5,Li 2017,1,Zn0.25V2O5,198.223,,,,,,,,,,
ZnBr2,Li 2017,1,ZnBr2,225.188,,,,,,,,,,
ZnSO4(H2O)7,Li 2017,1,ZnSO4(H2O)7,287.541,,,,,,,,,,
Zr,"ISE, USGS",2,Zr,91.224,,,,,,,,,,
kyanite,USGS,1,Al2H6O5Si,168.09107680000002,,,,,,,,,,
