index,source,num_source,specific_price_refs,molecular_formula,mu,specific_price_element,specific_price,price_type
Pd,USGS,1,1.8210866,,,49500.0,1.8210866,Ref(s)
Peat,USGS,1,0.0281663,,,,0.0281663,Ref(s)
Perlite,USGS,1,0.0723116,,,,0.0723116,Ref(s)
Phosphorite,USGS,1,0.0800895,,,,0.0800895,Ref(s)
Polysilicon,"ISE, Li 2017",2,25.275,Si,28.085,,25.275,Ref(s)
Pt,USGS,1,1.0553198,,,27800.0,1.0553198,Ref(s)
Pumice,USGS,1,0.0357149,,,,0.0357149,Ref(s)
Quartz,USGS,1,328.0,,,,328.0,Ref(s)
Re,"ISE, USGS",2,1385.25,,,3580.0,1385.25,Ref(s)
Rh,USGS,1,9.3612091,,,147000.0,9.3612091,Ref(s)
Ru,USGS,1,0.3010831,,,10500.0,0.3010831,Ref(s)
S,"Li 2017, USGS",2,0.1573087,S,32.06,0.0926,0.1573087,Ref(s)
Sand,Liu 2016,1,0.72,,,,0.72,Ref(s)
Sb,"ISE, Kim 2013, USGS",3,9.6329944,Sb,121.76,5.79,9.6329944,Ref(s)
Sc,USGS,1,182500.0,,,3460.0,182500.0,Ref(s)
Se,"ISE, USGS",2,22.5170408,,,21.4,22.5170408,Ref(s)
Sn,"Kim 2013, USGS",2,24.5983407,Sn,118.71,18.7,24.5983407,Ref(s)
Solar Salt,"Liu 2016, Olympios 2021",2,0.745,,,,0.745,Ref(s)
Sr,ISE,1,6.80275,,,6.605,6.80275,Ref(s)
Steel,Kale 2018,1,1.7566667,,,,1.7566667,Ref(s)
Stone,USGS,1,0.0132674,,,,0.0132674,Ref(s)
Syenite,USGS,1,0.1380094,,,,0.1380094,Ref(s)
Syltherm XLT,Alva 2018,1,29.4,,,,29.4,Ref(s)
Synthetic CH4 (Sabatier),Calculation,1,0.095,,,,0.095,Ref(s)
Synthetic H2,Calculation,1,0.009,,,,0.009,Ref(s)
Synthetic H2 (Cavern),Ahluwalia,1,0.36,,,,0.36,Ref(s)
Synthetic NH3 (Haber-Bosch),Calculation,1,0.0592,,,,0.0592,Ref(s)
Ta,ISE,1,281.6666667,,,305.0,281.6666667,Ref(s)
Talc,USGS,1,0.2680821,,,,0.2680821,Ref(s)
TbO2,USGS,1,686.6,,,547.7476088,686.6,Ref(s)
Te,"ISE, Kim 2013, USGS",3,153.3314176,Te,127.6,63.5,153.3314176,Ref(s)
Th,USGS,1,72.3333333,,,,72.3333333,Ref(s)
Ti,"ISE, USGS",2,13.4955,,,11.4,13.4955,Ref(s)
Ti2S4,Li 2017,1,80.0,Ti2S4,223.974,4.925762,80.0,Ref(s)
TiS2,Li 2017,1,80.0,TiS2,111.987,4.925762,80.0,Ref(s)
Tl,"Kim 2013, USGS",2,6969.0413282,Tl,204.38,4200.0,6969.0413282,Ref(s)
V,Alok 2021,1,205.0,,,371.0,205.0,Ref(s)
VOSO4(H2O)4,Li 2017,1,10.2,VOSO4(H2O)4,235.0565,80.5578609,10.2,Ref(s)
Vegetable Oil,Alva 2018,1,0.835,,,,0.835,Ref(s)
Vermiculite,Liu 2016,1,0.33,,,,0.33,Ref(s)
W,ISE,1,24.3428571,,,35.3,24.3428571,Ref(s)
Water,Li 2017,1,0.001,H2O,18.015,,0.001,Ref(s)
Water Reservoir Excavation,Calculation/Black and Veatch,1,0.261,,,,0.261,Ref(s)
Y,USGS,1,35.4,,,31.0,35.4,Ref(s)
Zeolite,Liu 2016,1,1.93,,,,1.93,Ref(s)
Zn,"Alva 2018, Kim 2013, Li 2017, USGS",4,4.5281673,Zn,65.38,2.55,4.5281673,Ref(s)
Zn0.25V2O5,Li 2017,1,10.0,Zn0.25V2O5,198.223,190.9596363,10.0,Ref(s)
ZnBr2,Li 2017,1,1.56,ZnBr2,225.188,3.8557833,1.56,Ref(s)
ZnSO4(H2O)7,Li 2017,1,0.41,ZnSO4(H2O)7,287.541,0.7526083,0.41,Ref(s)
Zr,"ISE, USGS",2,23.225,,,36.4,23.225,Ref(s)
kyanite,USGS,1,0.3952888,,,,0.3952888,Ref(s)
