index,original_name,Cp,kth,sp_latent_heat,phase_change_T,source,deltaH_thermochem,type,specific_strength,dielectric_constant,deltaG_chem,dielectric_breakdown,delta_height,mass_density
Synthetic NH3 (Haber-Bosch),,,,,,TODO,,,,,6.25,,,
Synthetic H2 (Cavern),,,,,,TODO,,,,,39.4,,,
Stone,Block Stacking,,,,,Energy Vault Press Release Height,,,,,,,100.0,
Water Reservoir Excavation,Pumped Hydro,,,,,Calculation/Black and Veatch,,,,,,,300.0,
FLi,LiF,,,0.2891666666666667,,Alok 2021,,,,,,,,
FNa,NaF,,,0.2205555555555555,,Alok 2021,,,,,,,,
KF,KF,,,0.1408333333333333,,Alok 2021,,,,,,,,
F2Mg,MgF2,,,0.2605555555555555,,Alok 2021,,,,,,,,
CaF2,CaF2,,,0.1058333333333333,,Alok 2021,,,,,,,,
ClLi,LiCl,,,0.1155555555555555,,Alok 2021,,,,,,,,
ClNa,NaCl,,,0.1338888888888889,,Alok 2021,,,,,,,,
ClK,KCl,,,0.0980555555555555,,Alok 2021,,,,,,,,
Cl2Mg,MgCl2,,,0.1261111111111111,,Alok 2021,,,,,,,,
CaCl2,CaCl2,,,0.0702777777777777,,Alok 2021,,,,,,,,
CLi2O3,Li2CO3,,,0.1413888888888889,,Alok 2021,,,,,,,,
CNa2O3,Na2CO3,,,0.0458333333333333,,Alok 2021,,,,,,,,
CK2O3,K2CO3,,,0.0561111111111111,,Alok 2021,,,,,,,,
CMg2O3,Mg2CO3,,,0.1938888888888889,,Alok 2021,,,,,,,,
Cu,Copper (Cu),,,0.0536111111111111,1356.0,Alok 2021,,,,,,,,
Ni,Nickel (Ni),,,0.0833333333333333,1728.0,Alok 2021,,,,,,,,
Cr,Chromium (Cr),,,0.1111111111111111,2180.0,Alok 2021,,,,,,,,
V,Vanadium (V),,,0.125,2183.0,Alok 2021,,,,,,,,
Metallurgical Silicon,Silicon (Si),,,0.4972222222222222,1410.0,Alok 2021,,,,,,,,
B,Boron (B),,,1.2777777777777777,2350.0,Alok 2021,,,,,,,,
Al,Aluminium (Al),,,0.1102777777777777,660.0,Alok 2021,,,,,,,,
Mg,Magnesium (Mg),,,0.1077777777777777,661.0,Alok 2021,,,,,,,,
Zn,Zinc (Zn),,,0.0405555555555555,419.0,Alok 2021,,,,,,,,
