index,specific_price,source,original_name,material_name,molecular_formula,specific_energy,energy_type,price_type
FLi,110.01625,Alva 2018 (Latent),LiF,,FLi,0.29,Latent Thermal,Ref(s)
FNa,4.605,Alva 2018 (Latent),NaF,,FNa,0.2205555555555555,Latent Thermal,Ref(s)
KF,104.15,Alva 2018 (Latent),KF,,KF,0.13,Latent Thermal,Ref(s)
CaF2,3.934909,Alva 2018 (Latent),CaF2,,CaF2,0.1086111111111111,Latent Thermal,Ref(s)
HNaO,4.1,Alva 2018 (Latent),NaOH,,HNaO,0.0458333333333333,Latent Thermal,Ref(s)
KOH,2.91,Alva 2018 (Latent),KOH,,KOH,0.0416666666666666,Latent Thermal,Ref(s)
HLiO,89.090625,Alva 2018 (Latent),LiOH,,HLiO,0.2425,Latent Thermal,Ref(s)
Cu,31.3728584,Alva 2018 (Latent),Cu,,Cu,0.0577777777777777,Latent Thermal,Ref(s)
Zn,4.5281673,Alva 2018 (Latent),Zn,,Zn,0.0313888888888888,Latent Thermal,Ref(s)
Al,6.931362,Alva 2018 (Latent),Al,,Al,0.1102777777777777,Latent Thermal,Ref(s)
Mg23Zn27,2.4946823,Alva 2018 (Latent),Zn54Mg46,,Mg23Zn27,0.0513888888888888,Latent Thermal,Element
Mg12Zn13,2.4912388,Alva 2018 (Latent),Zn52Mg48,,Mg12Zn13,0.05,Latent Thermal,Element
AlZn24,2.5371525,Alva 2018 (Latent),Zn96Al4,,AlZn24,0.0383333333333333,Latent Thermal,Element
Al59Mg33Zn6,2.0495696,Alva 2018 (Latent),Al59Mg33Zn6,,Al59Mg33Zn6,0.0861111111111111,Latent Thermal,Element
Al30Mg17Zn3,2.0494178,Alva 2018 (Latent),Al60Mg34Zn6,,Al30Mg17Zn3,0.0914166666666666,Latent Thermal,Element
Cu5Mg12Zn3,3.8275275,Alva 2018 (Latent),Mg60Cu25Zn15,,Cu5Mg12Zn3,0.0705555555555555,Latent Thermal,Element
Ca4Mg21,2.3104394,Alva 2018 (Latent),Mg84Ca16,,Ca4Mg21,0.0755555555555555,Latent Thermal,Element
Mg47Si38Zn15,2.1832961,Alva 2018 (Latent),Mg47Si38Zn15,,Mg47Si38Zn15,0.0872222222222222,Latent Thermal,Element
Cu4Si,5.5721617,Alva 2018 (Latent),Cu80Si20,,Cu4Si,0.0547222222222222,Latent Thermal,Element
Cu83P10Si7,5.6764049,Alva 2018 (Latent),Cu83P10Si7,,Cu83P10Si7,0.0255555555555555,Latent Thermal,Element
Ca21Mg30Si49,2.0190492,Alva 2018 (Latent),Si49Mg30Ca21,,Ca21Mg30Si49,0.0847222222222222,Latent Thermal,Element
Mg11Si14,1.9509444,Alva 2018 (Latent),Si56Mg44,,Mg11Si14,0.2102777777777777,Latent Thermal,Element
C,16.375,Li 2017,Active carbon,Carbon,C,,,Ref(s)
AQDS,4.8,Li 2017,AQDS,AQDS,C14H8O8S2,,,Ref(s)
CaCl2,1.87,Li 2017,CaCl2,,CaCl2,,,Ref(s)
Cd(OH)2,3.43,Li 2017,Cd(OH)2,,Cd(OH)2,,,Ref(s)
CrCl3(H2O)6,2.04,Li 2017,CrCl3 6H2O,,CrCl3(H2O)6,,,Ref(s)
CuCl,4.55,Li 2017,CuCl,,CuCl,,,Ref(s)
FeCl2,2.53,Li 2017,FeCl2,,FeCl2,,,Ref(s)
H2SO4,0.2,Li 2017,H2SO4,,H2SO4,,,Ref(s)
HBr,3.33,Li 2017,HBr,,HBr,,,Ref(s)
HCl,0.65,Li 2017,HCl,,HCl,,,Ref(s)
KOH,2.91,Li 2017,KOH,,KOH,,,Ref(s)
