SM_name,SM_type,specific_energy,mu_total,specific_price,price_sources,SM_sources,C_kwh
Mg/Tl,liquid_metal_battery,0.02050962264930168,228.685,3114.308312977823,"0 : Alibaba (Bulk), ISE, Kim 2013, Li 2017, USGS, 1 : Kim 2013, USGS",Kim 2013,151846.20244994416
Mg/Zn,liquid_metal_battery,0.04333167629914577,89.685,1.3535861594350171,"0 : Alibaba (Bulk), ISE, Kim 2013, Li 2017, USGS, 1 : Alibaba (Bulk), Kim 2013, Li 2017, SMM, USGS",Kim 2013,31.2377981892591
NTP/NMO,solid_electrode,0.6958833121337907,500.6845968,4.5154057957830105,"0 : Li 2017, 1 : Li 2017",Li 2017,6.488739874990531
Na-O2,metal_air,2.7163054703254943,22.9897693,2.5,"Alibaba (Bulk), Alva 2018, Kim 2013, Li 2017, SMM",Weinrich 2019,0.9203677669214522
Na/Bi,liquid_metal_battery,0.06990054077517016,231.9701693,5.518960833039194,"0 : Alibaba (Bulk), Alva 2018, Kim 2013, Li 2017, SMM, 1 : Alibaba (Bulk), ISE, Kim 2013, USGS",Kim 2013,78.95447977706664
Na/Cd,liquid_metal_battery,0.02375241607595828,135.4037693,1.496594083182587,"0 : Alibaba (Bulk), Alva 2018, Kim 2013, Li 2017, SMM, 1 : Alibaba (Bulk), ISE, Kim 2013, SMM, USGS",Kim 2013,63.00807793180289
Na/Ga,liquid_metal_battery,0.030353379093092554,92.71276929999999,89.31158285092035,"0 : Alibaba (Bulk), Alva 2018, Kim 2013, Li 2017, SMM, 1 : ISE, Kim 2013, USGS",Kim 2013,2942.3934177807823
Na/Hg,liquid_metal_battery,0.04794914893606916,223.58176930000002,10.997141537472887,"0 : Alibaba (Bulk), Alva 2018, Kim 2013, Li 2017, SMM, 1 : Kim 2013, USGS",Kim 2013,229.35008819729902
Na/In,liquid_metal_battery,0.03500709738286142,137.8077693,90.74689045821695,"0 : Alibaba (Bulk), Alva 2018, Kim 2013, Li 2017, SMM, 1 : Alibaba (Bulk), ISE, Kim 2013, USGS",Kim 2013,2592.24263770707
Na/NiCl2,liquid_metal_battery,0.26526544146840714,260.6731693,2.4353480004472408,"0 : Alibaba (Bulk), Alva 2018, Kim 2013, Li 2017, SMM, 1 : Li 2017",Li 2017,9.180796363695526
Na/Pb,liquid_metal_battery,0.039004623468197615,230.1897693,1.1232132046408854,"0 : Alibaba (Bulk), Alva 2018, Kim 2013, Li 2017, SMM, 1 : Alibaba (Bulk), Kim 2013, Li 2017, SMM, USGS",Kim 2013,28.79692469167652
Na/S,liquid_metal_battery,0.9737148485702696,55.0497693,0.5948201425977638,"0 : Alibaba (Bulk), Alva 2018, Kim 2013, Li 2017, SMM, 1 : Alibaba (Bulk), Li 2017, USGS",Li 2017,0.6108771407472665
Na/Sb,liquid_metal_battery,0.13609017084169772,144.7497693,3.166998238817122,"0 : Alibaba (Bulk), Alva 2018, Kim 2013, Li 2017, SMM, 1 : Alibaba (Bulk), ISE, Kim 2013, USGS",Kim 2013,23.27132238301784
Na/Sn,liquid_metal_battery,0.06336259629872085,141.69976929999999,11.49428273363463,"0 : Alibaba (Bulk), Alva 2018, Kim 2013, Li 2017, SMM, 1 : Kim 2013, SMM, USGS",Kim 2013,181.4048572038497
Na/Te,liquid_metal_battery,0.28387197534393044,150.5897693,25.271950606706984,"0 : Alibaba (Bulk), Alva 2018, Kim 2013, Li 2017, SMM, 1 : ISE, Kim 2013, USGS",Kim 2013,89.0258736392991
Na/Tl,liquid_metal_battery,0.031237081681621582,227.3697693,3132.320856627435,"0 : Alibaba (Bulk), Alva 2018, Kim 2013, Li 2017, SMM, 1 : Kim 2013, USGS",Kim 2013,100275.72000973267
NiCd,solid_electrode,0.12556166673954278,256.1424,3.4090760159192697,"0 : Alibaba (Bulk), Alibaba (Manual), Li 2017, 1 : Alibaba (Bulk), Alibaba (Manual), Li 2017",Li 2017,27.1506113644608
NiMH,solid_electrode,0.061250999141648034,525.07987,4.755748038388902,"0 : Li 2017, 1 : Alibaba (Bulk), Alibaba (Manual), Li 2017",Li 2017,77.64359937036846
PSB,flow_battery,0.2165142325858287,191.868,1.0378649279713137,"0 : Alibaba (Bulk), Li 2017, USGS, 1 : USGS",Li 2017,4.793518262407495
Pb acid,solid_electrode,0.2716356981981982,207.2,2.2182912821042384,"Alibaba (Bulk), Kim 2013, Li 2017, SMM, USGS",Li 2017,8.16642030785537
Si-air,metal_air,1.9944775779874584,28.085,1.35,"Alibaba (Bulk), Alok 2021, ISE, USGS",Weinrich 2019,0.6768689780720559
Si/LCO,solid_electrode,0.8936903359697683,125.95619400000001,14.065284638959476,"0 : ISE, Li 2017, 1 : Alibaba (Bulk), ISE, Li 2017",Li 2017,15.738432064051405
Si/Li2S,solid_electrode,0.9413523959623249,74.025,5.374915062478893,"0 : ISE, Li 2017, 1 : Li 2017",Li 2017,5.709779977756607
VRFB,flow_battery,0.815487427299506,50.9415,299.32,"Alok 2021, SMM",Li 2017,367.0442853928489
Zn-air,metal_air,0.676388676455593,65.38,2.818389559771475,"Alibaba (Bulk), Kim 2013, Li 2017, SMM, USGS",Weinrich 2019,4.166819548991239
Zn/Br2,hybrid_flow,0.22018300017960304,225.188,1.2756395665352043,"0 : Alibaba (Bulk), Kim 2013, Li 2017, SMM, USGS, 1 : USGS",Li 2017,5.793542487361269
Zn/Fe,hybrid_flow,0.43996505579615497,121.225,0.7847463951673104,"0 : Alibaba (Bulk), Kim 2013, Li 2017, SMM, USGS, 1 : Alibaba (Bulk), USGS",Li 2017,1.7836561900291004
Zn/MnO2,solid_electrode,0.2639386012235976,152.31604299999998,1.0506814294973317,"0 : Alibaba (Bulk), Kim 2013, Li 2017, SMM, USGS, 1 : Alibaba (Bulk), Alibaba (Manual), ISE, Li 2017",Li 2017,3.980779714018561
Zn/NiOOH,solid_electrode,0.29499135710162017,158.0874,2.6353084098348734,"0 : Alibaba (Bulk), Kim 2013, Li 2017, SMM, USGS, 1 : Alibaba (Bulk), Alibaba (Manual), Li 2017",Li 2017,8.93351058053897
Zn/Zn0.25V2O5,solid_electrode,0.1517521958619921,247.25799999999998,7.84073002273788,"0 : Alibaba (Bulk), Kim 2013, Li 2017, SMM, USGS, 1 : ISE, SMM",Li 2017,51.6679839668908
Zn/air,metal_air,0.676388676455593,65.38,2.818389559771475,"Alibaba (Bulk), Kim 2013, Li 2017, SMM, USGS",Li 2017,4.166819548991239
Basalt,sensible_thermal,0.20416666666665,162.0430768,0.0816337094691429,"Alibaba (Bulk), USGS",Alva 2018,0.39983857699175296
Dowtherm A,sensible_thermal,0.22638888888885,,,,Alva 2018,
Granite,sensible_thermal,0.12499999999995,162.0430768,0.0816337094691429,"Alibaba (Bulk), USGS",Alva 2018,0.6530696757534045
